out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
0,5,8,53,36,1,12,1134,187,54,46,1,4,653376,1,4,8,53,54,7,19,1122,163,47,35,1,4,8,53,66,18,13,1161,157,41,32
1,6,8,56,38,0,9,1126,123,32,38,1,8,653376,1,4,8,53,36,1,12,1134,187,54,46,1,4,8,53,54,7,19,1122,163,47,35
1,7,8,56,46,1,4,1095,145,53,37,1,8,653376,1,8,8,56,38,0,9,1126,123,32,38,1,4,8,53,36,1,12,1134,187,54,46
0,8,8,56,33,1,9,1024,161,33,42,1,8,653376,1,8,8,56,46,1,4,1095,145,53,37,1,8,8,56,38,0,9,1126,123,32,38
2,9,8,56,34,0,13,1086,141,63,24,1,8,653376,1,8,8,56,33,1,9,1024,161,33,42,1,8,8,56,46,1,4,1095,145,53,37
0,10,8,56,33,2,3,977,133,42,31,1,8,653376,1,8,8,56,34,0,13,1086,141,63,24,1,8,8,56,33,1,9,1024,161,33,42
2,11,8,56,21,0,5,1025,153,34,45,1,3,653376,1,8,8,56,33,2,3,977,133,42,31,1,8,8,56,34,0,13,1086,141,63,24
0,12,8,55,27,2,9,970,147,41,37,1,3,653376,1,3,8,56,21,0,5,1025,153,34,45,1,8,8,56,33,2,3,977,133,42,31
0,13,8,55,24,0,3,908,135,56,36,1,3,653376,1,3,8,55,27,2,9,970,147,41,37,1,3,8,56,21,0,5,1025,153,34,45
1,14,8,55,21,0,7,882,126,39,46,1,3,653376,1,3,8,55,24,0,3,908,135,56,36,1,3,8,55,27,2,9,970,147,41,37
1,15,8,55,26,1,7,919,126,34,28,1,3,653376,1,3,8,55,21,0,7,882,126,39,46,1,3,8,55,24,0,3,908,135,56,36
0,16,8,55,19,1,6,897,127,39,42,1,3,653376,1,3,8,55,26,1,7,919,126,34,28,1,3,8,55,21,0,7,882,126,39,46
0,17,8,55,12,0,2,855,113,42,29,1,3,653376,1,3,8,55,19,1,6,897,127,39,42,1,3,8,55,26,1,7,919,126,34,28
2,18,8,55,13,0,2,802,99,38,19,1,3,653376,1,3,8,55,12,0,2,855,113,42,29,1,3,8,55,19,1,6,897,127,39,42
1,19,8,45,14,2,6,768,112,32,27,1,3,653376,1,3,8,55,13,0,2,802,99,38,19,1,3,8,55,12,0,2,855,113,42,29
0,20,7,45,15,1,2,736,74,24,16,1,4,653376,1,3,8,45,14,2,6,768,112,32,27,1,3,8,55,13,0,2,802,99,38,19
0,21,7,45,9,0,4,718,108,25,29,1,3,653376,1,4,7,45,15,1,2,736,74,24,16,1,3,8,45,14,2,6,768,112,32,27
6,22,7,45,17,0,3,736,104,33,34,1,3,653376,1,3,7,45,9,0,4,718,108,25,29,1,4,7,45,15,1,2,736,74,24,16
0,23,7,45,14,6,4,745,99,39,27,1,3,653376,1,3,7,45,17,0,3,736,104,33,34,1,3,7,45,9,0,4,718,108,25,29
0,24,7,42,12,0,3,767,90,40,26,1,3,653376,1,3,7,45,14,6,4,745,99,39,27,1,3,7,45,17,0,3,736,104,33,34
1,25,7,42,10,0,1,765,102,19,23,1,4,653376,1,3,7,42,12,0,3,767,90,40,26,1,3,7,45,14,6,4,745,99,39,27
1,26,7,42,13,1,2,766,110,29,22,1,4,653376,1,4,7,42,10,0,1,765,102,19,23,1,3,7,42,12,0,3,767,90,40,26
0,27,7,42,6,1,1,648,81,20,34,1,4,653376,1,4,7,42,13,1,2,766,110,29,22,1,4,7,42,10,0,1,765,102,19,23
1,28,7,42,12,0,1,685,77,30,38,1,4,653376,1,4,7,42,6,1,1,648,81,20,34,1,4,7,42,13,1,2,766,110,29,22
4,29,7,42,14,1,3,556,64,12,20,1,4,653376,1,4,7,42,12,0,1,685,77,30,38,1,4,7,42,6,1,1,648,81,20,34
0,30,7,42,8,4,2,656,96,23,19,1,4,653376,1,4,7,42,14,1,3,556,64,12,20,1,4,7,42,12,0,1,685,77,30,38
1,31,7,42,7,0,1,633,106,35,29,1,4,653376,1,4,7,42,8,4,2,656,96,23,19,1,4,7,42,14,1,3,556,64,12,20
1,32,7,42,5,1,1,664,90,31,25,1,4,653376,1,4,7,42,7,0,1,633,106,35,29,1,4,7,42,8,4,2,656,96,23,19
2,33,7,42,8,1,2,647,134,35,21,1,4,653376,1,4,7,42,5,1,1,664,90,31,25,1,4,7,42,7,0,1,633,106,35,29
0,34,7,42,10,2,4,599,103,19,26,1,4,653376,1,4,7,42,8,1,2,647,134,35,21,1,4,7,42,5,1,1,664,90,31,25
0,35,7,42,8,0,3,659,94,28,22,1,4,653376,1,4,7,42,10,2,4,599,103,19,26,1,4,7,42,8,1,2,647,134,35,21
6,36,7,46,7,0,1,676,110,40,38,1,4,653376,1,4,7,42,8,0,3,659,94,28,22,1,4,7,42,10,2,4,599,103,19,26
30,37,7,46,19,6,4,571,159,44,21,1,4,653376,1,4,7,46,7,0,1,676,110,40,38,1,4,7,42,8,0,3,659,94,28,22
6,38,7,46,53,30,2,707,98,35,33,1,4,653376,1,4,7,46,19,6,4,571,159,44,21,1,4,7,46,7,0,1,676,110,40,38
6,39,7,46,28,6,3,802,112,27,32,1,4,653376,1,4,7,46,53,30,2,707,98,35,33,1,4,7,46,19,6,4,571,159,44,21
2,40,7,46,36,6,7,864,129,28,29,1,4,653376,1,4,7,46,28,6,3,802,112,27,32,1,4,7,46,53,30,2,707,98,35,33
0,41,7,46,35,2,5,964,122,36,31,1,4,653376,1,4,7,46,36,6,7,864,129,28,29,1,4,7,46,28,6,3,802,112,27,32
2,42,7,50,45,0,9,1121,153,67,39,1,4,653376,1,4,7,46,35,2,5,964,122,36,31,1,4,7,46,36,6,7,864,129,28,29
5,43,7,50,59,2,15,1200,195,62,45,1,4,653376,1,4,7,50,45,0,9,1121,153,67,39,1,4,7,46,35,2,5,964,122,36,31
2,44,7,50,100,5,22,1174,222,68,66,1,4,653376,1,4,7,50,59,2,15,1200,195,62,45,1,4,7,50,45,0,9,1121,153,67,39
2,45,7,50,117,2,43,1314,272,56,60,1,4,653376,1,4,7,50,100,5,22,1174,222,68,66,1,4,7,50,59,2,15,1200,195,62,45
3,46,7,50,160,2,55,1296,322,122,66,1,4,653376,1,4,7,50,117,2,43,1314,272,56,60,1,4,7,50,100,5,22,1174,222,68,66
6,47,7,50,274,3,86,1454,321,100,70,1,4,653376,1,4,7,50,160,2,55,1296,322,122,66,1,4,7,50,117,2,43,1314,272,56,60
7,48,7,55,318,6,123,1439,399,113,77,1,4,653376,1,4,7,50,274,3,86,1454,321,100,70,1,4,7,50,160,2,55,1296,322,122,66
12,49,7,55,400,7,103,1534,437,130,70,1,4,653376,1,4,7,55,318,6,123,1439,399,113,77,1,4,7,50,274,3,86,1454,321,100,70
144,50,7,55,418,12,141,1580,402,110,58,1,4,653376,1,4,7,55,400,7,103,1534,437,130,70,1,4,7,55,318,6,123,1439,399,113,77
123,51,7,55,578,144,133,1706,399,116,62,1,4,653376,1,4,7,55,418,12,141,1580,402,110,58,1,4,7,55,400,7,103,1534,437,130,70
56,52,7,55,508,123,114,1662,393,107,70,1,4,653376,1,4,7,55,578,144,133,1706,399,116,62,1,4,7,55,418,12,141,1580,402,110,58
35,53,7,55,511,56,168,1616,398,93,57,1,4,653376,1,4,7,55,508,123,114,1662,393,107,70,1,4,7,55,578,144,133,1706,399,116,62
4,54,7,54,510,35,160,1703,335,99,51,1,4,653376,1,4,7,55,511,56,168,1616,398,93,57,1,4,7,55,508,123,114,1662,393,107,70
9,55,7,54,301,4,105,1713,403,88,63,1,4,653376,1,4,7,54,510,35,160,1703,335,99,51,1,4,7,55,511,56,168,1616,398,93,57
6,56,7,54,231,9,77,1687,367,117,56,1,4,653376,1,4,7,54,301,4,105,1713,403,88,63,1,4,7,54,510,35,160,1703,335,99,51
5,57,7,54,204,6,73,1642,360,113,62,1,4,653376,1,4,7,54,231,9,77,1687,367,117,56,1,4,7,54,301,4,105,1713,403,88,63
3,58,7,54,217,5,86,1630,348,108,111,1,4,653376,1,4,7,54,204,6,73,1642,360,113,62,1,4,7,54,231,9,77,1687,367,117,56
2,59,7,54,178,3,72,1535,373,93,98,1,4,653376,1,4,7,54,217,5,86,1630,348,108,111,1,4,7,54,204,6,73,1642,360,113,62
3,60,7,54,213,2,92,1561,379,113,103,1,4,653376,1,4,7,54,178,3,72,1535,373,93,98,1,4,7,54,217,5,86,1630,348,108,111
4,61,7,54,203,3,110,1666,362,124,86,1,4,653376,1,4,7,54,213,2,92,1561,379,113,103,1,4,7,54,178,3,72,1535,373,93,98
2,62,7,54,131,4,68,1617,359,112,109,1,4,653376,1,4,7,54,203,3,110,1666,362,124,86,1,4,7,54,213,2,92,1561,379,113,103
4,63,7,54,138,2,55,1567,330,106,80,1,4,653376,1,4,7,54,131,4,68,1617,359,112,109,1,4,7,54,203,3,110,1666,362,124,86
2,64,7,54,121,4,53,1529,343,92,122,1,4,653376,1,4,7,54,138,2,55,1567,330,106,80,1,4,7,54,131,4,68,1617,359,112,109
3,65,7,54,125,2,37,1511,274,117,87,1,4,653376,1,4,7,54,121,4,53,1529,343,92,122,1,4,7,54,138,2,55,1567,330,106,80
2,66,7,59,113,3,53,1538,296,71,96,1,4,653376,1,4,7,54,125,2,37,1511,274,117,87,1,4,7,54,121,4,53,1529,343,92,122
2,67,7,59,135,2,56,1497,305,111,92,1,4,653376,1,4,7,59,113,3,53,1538,296,71,96,1,4,7,54,125,2,37,1511,274,117,87
5,68,7,59,148,2,54,1551,257,92,84,1,4,653376,1,4,7,59,135,2,56,1497,305,111,92,1,4,7,59,113,3,53,1538,296,71,96
3,69,8,59,151,5,56,1509,328,91,97,1,4,653376,1,4,7,59,148,2,54,1551,257,92,84,1,4,7,59,135,2,56,1497,305,111,92
6,70,8,59,135,3,58,1531,316,115,92,1,4,653376,1,4,8,59,151,5,56,1509,328,91,97,1,4,7,59,148,2,54,1551,257,92,84
6,71,8,59,181,6,52,1467,302,90,103,1,4,653376,1,4,8,59,135,3,58,1531,316,115,92,1,4,8,59,151,5,56,1509,328,91,97
5,72,8,64,180,6,45,1465,319,83,85,1,4,653376,1,4,8,59,181,6,52,1467,302,90,103,1,4,8,59,135,3,58,1531,316,115,92
1,73,7,64,177,5,63,1500,325,81,87,1,4,653376,1,4,8,64,180,6,45,1465,319,83,85,1,4,8,59,181,6,52,1467,302,90,103
4,74,7,64,148,1,43,1494,301,90,92,1,4,653376,1,4,7,64,177,5,63,1500,325,81,87,1,4,8,64,180,6,45,1465,319,83,85
4,75,7,64,182,4,47,1482,338,83,77,1,4,653376,1,4,7,64,148,1,43,1494,301,90,92,1,4,7,64,177,5,63,1500,325,81,87
6,76,7,64,171,4,68,1486,337,106,92,1,4,653376,1,4,7,64,182,4,47,1482,338,83,77,1,4,7,64,148,1,43,1494,301,90,92
9,77,7,64,162,6,70,1502,315,114,80,1,4,653376,1,4,7,64,171,4,68,1486,337,106,92,1,4,7,64,182,4,47,1482,338,83,77
4,78,7,68,180,9,59,1477,322,101,104,1,4,653376,1,4,7,64,162,6,70,1502,315,114,80,1,4,7,64,171,4,68,1486,337,106,92
4,79,7,68,164,4,78,1531,280,114,83,1,4,653376,1,4,7,68,180,9,59,1477,322,101,104,1,4,7,64,162,6,70,1502,315,114,80
5,80,7,68,160,4,90,1442,352,104,88,1,4,653376,1,4,7,68,164,4,78,1531,280,114,83,1,4,7,68,180,9,59,1477,322,101,104
7,81,7,68,175,5,88,1530,279,101,84,1,4,653376,1,4,7,68,160,4,90,1442,352,104,88,1,4,7,68,164,4,78,1531,280,114,83
1,82,7,68,146,7,68,1488,338,121,74,1,4,653376,1,4,7,68,175,5,88,1530,279,101,84,1,4,7,68,160,4,90,1442,352,104,88
5,83,7,68,168,1,58,1490,377,125,72,1,4,653376,1,4,7,68,146,7,68,1488,338,121,74,1,4,7,68,175,5,88,1530,279,101,84
2,84,8,66,174,5,89,1448,374,108,87,1,4,653376,1,4,7,68,168,1,58,1490,377,125,72,1,4,7,68,146,7,68,1488,338,121,74
3,85,8,66,136,2,58,1572,351,92,68,1,4,653376,1,4,8,66,174,5,89,1448,374,108,87,1,4,7,68,168,1,58,1490,377,125,72
3,86,8,66,152,3,54,1435,325,107,81,1,4,653376,1,4,8,66,136,2,58,1572,351,92,68,1,4,8,66,174,5,89,1448,374,108,87
8,87,8,66,162,3,58,1432,328,97,99,1,4,653376,1,4,8,66,152,3,54,1435,325,107,81,1,4,8,66,136,2,58,1572,351,92,68
6,88,8,66,143,8,46,1462,333,94,97,1,4,653376,1,4,8,66,162,3,58,1432,328,97,99,1,4,8,66,152,3,54,1435,325,107,81
2,89,8,66,185,6,60,1439,338,119,90,1,4,653376,1,4,8,66,143,8,46,1462,333,94,97,1,4,8,66,162,3,58,1432,328,97,99
6,90,8,69,144,2,50,1485,344,92,68,1,4,653376,1,4,8,66,185,6,60,1439,338,119,90,1,4,8,66,143,8,46,1462,333,94,97
2,91,8,69,141,6,46,1436,298,103,88,1,4,653376,1,4,8,69,144,2,50,1485,344,92,68,1,4,8,66,185,6,60,1439,338,119,90
6,92,8,69,143,2,56,1473,351,91,78,1,3,653376,1,4,8,69,141,6,46,1436,298,103,88,1,4,8,69,144,2,50,1485,344,92,68
5,93,8,69,162,6,59,1484,355,103,88,1,4,653376,1,3,8,69,143,2,56,1473,351,91,78,1,4,8,69,141,6,46,1436,298,103,88
5,94,8,69,183,5,50,1445,329,134,103,1,4,653376,1,4,8,69,162,6,59,1484,355,103,88,1,3,8,69,143,2,56,1473,351,91,78
4,95,8,69,174,5,85,1477,356,112,107,1,4,653376,1,4,8,69,183,5,50,1445,329,134,103,1,4,8,69,162,6,59,1484,355,103,88
