out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
1,5,3,96,26,1,11,1165,192,48,54,1,3,653376,1,3,3,94,38,4,8,1163,200,38,56,1,3,3,94,52,2,11,1174,195,76,69
1,6,3,99,33,1,14,1185,197,57,38,1,3,653376,1,3,3,96,26,1,11,1165,192,48,54,1,3,3,94,38,4,8,1163,200,38,56
0,7,3,99,34,1,2,1088,146,51,49,1,3,653376,1,3,3,99,33,1,14,1185,197,57,38,1,3,3,96,26,1,11,1165,192,48,54
2,8,3,99,25,0,8,1108,158,51,47,1,3,653376,1,3,3,99,34,1,2,1088,146,51,49,1,3,3,99,33,1,14,1185,197,57,38
3,9,3,99,26,2,9,1096,148,62,44,1,3,653376,1,3,3,99,25,0,8,1108,158,51,47,1,3,3,99,34,1,2,1088,146,51,49
1,10,3,99,30,3,7,1050,116,55,45,1,3,653376,1,3,3,99,26,2,9,1096,148,62,44,1,3,3,99,25,0,8,1108,158,51,47
0,11,3,99,30,1,8,1056,123,48,49,1,3,653376,1,3,3,99,30,3,7,1050,116,55,45,1,3,3,99,26,2,9,1096,148,62,44
0,12,3,101,25,0,5,982,164,46,42,1,3,653376,1,3,3,99,30,1,8,1056,123,48,49,1,3,3,99,30,3,7,1050,116,55,45
0,13,3,101,19,0,4,1005,141,54,38,1,3,653376,1,3,3,101,25,0,5,982,164,46,42,1,3,3,99,30,1,8,1056,123,48,49
4,14,3,101,25,0,7,987,129,45,50,1,3,653376,1,3,3,101,19,0,4,1005,141,54,38,1,3,3,101,25,0,5,982,164,46,42
1,15,3,101,21,4,5,938,117,45,39,1,3,653376,1,3,3,101,25,0,7,987,129,45,50,1,3,3,101,19,0,4,1005,141,54,38
2,16,3,101,16,1,6,914,105,30,49,1,3,653376,1,3,3,101,21,4,5,938,117,45,39,1,3,3,101,25,0,7,987,129,45,50
0,17,3,101,19,2,6,864,81,36,36,1,3,653376,1,3,3,101,16,1,6,914,105,30,49,1,3,3,101,21,4,5,938,117,45,39
0,18,3,101,10,0,3,838,104,28,27,1,3,653376,1,3,3,101,19,2,6,864,81,36,36,1,3,3,101,16,1,6,914,105,30,49
0,19,3,101,15,0,4,845,85,37,28,1,3,653376,1,3,3,101,10,0,3,838,104,28,27,1,3,3,101,19,2,6,864,81,36,36
1,20,3,101,13,0,5,795,105,31,40,1,3,653376,1,3,3,101,15,0,4,845,85,37,28,1,3,3,101,10,0,3,838,104,28,27
2,21,3,101,12,1,6,824,107,37,44,1,3,653376,1,3,3,101,13,0,5,795,105,31,40,1,3,3,101,15,0,4,845,85,37,28
2,22,3,101,9,2,2,791,122,42,31,1,3,653376,1,3,3,101,12,1,6,824,107,37,44,1,3,3,101,13,0,5,795,105,31,40
3,23,3,101,7,2,2,690,103,35,27,1,3,653376,1,3,3,101,9,2,2,791,122,42,31,1,3,3,101,12,1,6,824,107,37,44
2,24,3,103,17,3,1,659,111,33,30,1,3,653376,1,3,3,101,7,2,2,690,103,35,27,1,3,3,101,9,2,2,791,122,42,31
0,25,3,103,6,2,1,746,104,34,46,1,3,653376,1,3,3,103,17,3,1,659,111,33,30,1,3,3,101,7,2,2,690,103,35,27
2,26,3,103,4,0,3,621,112,49,44,1,3,653376,1,3,3,103,6,2,1,746,104,34,46,1,3,3,103,17,3,1,659,111,33,30
0,27,3,103,5,2,2,559,129,22,48,1,3,653376,1,3,3,103,4,0,3,621,112,49,44,1,3,3,103,6,2,1,746,104,34,46
1,28,3,103,9,0,3,690,106,38,42,1,3,653376,1,3,3,103,5,2,2,559,129,22,48,1,3,3,103,4,0,3,621,112,49,44
