out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
0,5,3,88,45,5,6,1142,171,51,41,1,3,653376,1,3,3,88,54,4,20,1149,150,30,43,1,3,3,88,58,8,20,1229,156,43,55
0,6,3,88,33,0,13,1158,166,56,51,1,3,653376,1,3,3,88,45,5,6,1142,171,51,41,1,3,3,88,54,4,20,1149,150,30,43
2,7,3,82,40,0,5,1151,145,34,39,1,3,653376,1,3,3,88,33,0,13,1158,166,56,51,1,3,3,88,45,5,6,1142,171,51,41
3,8,3,82,39,2,9,1110,119,36,46,1,3,653376,1,3,3,82,40,0,5,1151,145,34,39,1,3,3,88,33,0,13,1158,166,56,51
2,9,3,82,43,3,5,1040,155,44,46,1,3,653376,1,3,3,82,39,2,9,1110,119,36,46,1,3,3,82,40,0,5,1151,145,34,39
3,10,3,82,38,2,7,1067,147,43,48,1,3,653376,1,3,3,82,43,3,5,1040,155,44,46,1,3,3,82,39,2,9,1110,119,36,46
1,11,3,82,27,3,8,1080,135,39,54,1,3,653376,1,3,3,82,38,2,7,1067,147,43,48,1,3,3,82,43,3,5,1040,155,44,46
1,12,3,78,22,1,2,955,101,31,45,1,3,653376,1,3,3,82,27,3,8,1080,135,39,54,1,3,3,82,38,2,7,1067,147,43,48
0,13,3,78,24,1,4,1058,129,60,35,1,3,653376,1,3,3,78,22,1,2,955,101,31,45,1,3,3,82,27,3,8,1080,135,39,54
2,14,3,78,22,0,7,887,109,45,53,1,3,653376,1,3,3,78,24,1,4,1058,129,60,35,1,3,3,78,22,1,2,955,101,31,45
1,15,3,78,19,2,6,953,140,21,36,1,3,653376,1,3,3,78,22,0,7,887,109,45,53,1,3,3,78,24,1,4,1058,129,60,35
0,16,3,78,18,1,1,992,102,29,26,1,3,653376,1,3,3,78,19,2,6,953,140,21,36,1,3,3,78,22,0,7,887,109,45,53
0,17,3,78,27,0,4,932,115,21,38,1,3,653376,1,3,3,78,18,1,1,992,102,29,26,1,3,3,78,19,2,6,953,140,21,36
1,18,3,74,16,0,3,871,129,24,19,1,3,653376,1,3,3,78,27,0,4,932,115,21,38,1,3,3,78,18,1,1,992,102,29,26
0,19,3,74,10,1,2,845,64,29,33,1,3,653376,1,3,3,74,16,0,3,871,129,24,19,1,3,3,78,27,0,4,932,115,21,38
3,20,3,74,14,0,1,790,93,10,20,1,3,653376,1,3,3,74,10,1,2,845,64,29,33,1,3,3,74,16,0,3,871,129,24,19
1,21,3,74,15,3,2,719,124,28,41,1,3,653376,1,3,3,74,14,0,1,790,93,10,20,1,3,3,74,10,1,2,845,64,29,33
1,22,3,74,13,1,3,750,102,39,31,1,3,653376,1,3,3,74,15,3,2,719,124,28,41,1,3,3,74,14,0,1,790,93,10,20
