out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
2,5,7,185,83,3,19,1271,197,66,55,1,3,653376,1,3,7,185,102,7,20,1309,215,67,49,1,3,7,185,92,8,23,1308,206,69,63
3,6,7,181,87,2,14,1264,153,54,49,1,2,653376,1,3,7,185,83,3,19,1271,197,66,55,1,3,7,185,102,7,20,1309,215,67,49
5,7,6,181,66,3,8,1236,193,66,50,1,2,653376,1,2,7,181,87,2,14,1264,153,54,49,1,3,7,185,83,3,19,1271,197,66,55
5,8,6,181,56,5,15,1230,200,54,57,1,2,653376,1,2,6,181,66,3,8,1236,193,66,50,1,2,7,181,87,2,14,1264,153,54,49
5,9,6,181,52,5,6,1100,180,37,49,1,2,653376,1,2,6,181,56,5,15,1230,200,54,57,1,2,6,181,66,3,8,1236,193,66,50
3,10,6,181,56,5,8,1166,188,67,59,1,2,653376,1,2,6,181,52,5,6,1100,180,37,49,1,2,6,181,56,5,15,1230,200,54,57
0,11,6,181,50,3,6,1103,157,38,53,1,2,653376,1,2,6,181,56,5,8,1166,188,67,59,1,2,6,181,52,5,6,1100,180,37,49
2,12,6,177,43,0,7,1128,138,68,36,1,2,653376,1,2,6,181,50,3,6,1103,157,38,53,1,2,6,181,56,5,8,1166,188,67,59
1,13,6,177,32,2,2,1014,190,61,45,1,2,653376,1,2,6,177,43,0,7,1128,138,68,36,1,2,6,181,50,3,6,1103,157,38,53
1,14,6,177,40,1,4,1125,180,51,41,1,2,653376,1,2,6,177,32,2,2,1014,190,61,45,1,2,6,177,43,0,7,1128,138,68,36
2,15,6,177,28,1,6,1092,138,56,44,1,2,653376,1,2,6,177,40,1,4,1125,180,51,41,1,2,6,177,32,2,2,1014,190,61,45
4,16,6,177,32,2,5,1024,146,32,45,1,2,653376,1,2,6,177,28,1,6,1092,138,56,44,1,2,6,177,40,1,4,1125,180,51,41
2,17,6,177,30,4,2,985,133,42,48,1,8,653376,1,2,6,177,32,2,5,1024,146,32,45,1,2,6,177,28,1,6,1092,138,56,44
0,18,6,167,22,2,4,949,147,46,42,1,8,653376,1,8,6,177,30,4,2,985,133,42,48,1,2,6,177,32,2,5,1024,146,32,45
2,19,6,167,26,0,3,912,101,47,38,1,8,653376,1,8,6,167,22,2,4,949,147,46,42,1,8,6,177,30,4,2,985,133,42,48
1,20,6,167,20,2,5,949,139,35,38,1,8,653376,1,8,6,167,26,0,3,912,101,47,38,1,8,6,167,22,2,4,949,147,46,42
