out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
1,5,7,105,82,4,13,1245,179,70,36,1,4,653376,1,4,7,105,56,2,10,1312,231,74,66,1,4,7,105,81,2,17,1309,250,74,61
1,6,7,112,56,1,22,1176,231,81,50,1,4,653376,1,4,7,105,82,4,13,1245,179,70,36,1,4,7,105,56,2,10,1312,231,74,66
3,7,7,112,48,1,12,1136,210,67,47,1,4,653376,1,4,7,112,56,1,22,1176,231,81,50,1,4,7,105,82,4,13,1245,179,70,36
4,8,7,112,80,3,16,1239,208,86,48,1,4,653376,1,4,7,112,48,1,12,1136,210,67,47,1,4,7,112,56,1,22,1176,231,81,50
2,9,7,112,52,4,11,1196,214,64,57,1,4,653376,1,4,7,112,80,3,16,1239,208,86,48,1,4,7,112,48,1,12,1136,210,67,47
0,10,7,112,48,2,10,1118,191,56,49,1,4,653376,1,4,7,112,52,4,11,1196,214,64,57,1,4,7,112,80,3,16,1239,208,86,48
6,11,7,112,43,0,12,1150,170,68,44,1,4,653376,1,4,7,112,48,2,10,1118,191,56,49,1,4,7,112,52,4,11,1196,214,64,57
1,12,7,118,40,6,12,1082,145,50,43,1,4,653376,1,4,7,112,43,0,12,1150,170,68,44,1,4,7,112,48,2,10,1118,191,56,49
2,13,7,118,38,1,5,1083,185,73,54,1,4,653376,1,4,7,118,40,6,12,1082,145,50,43,1,4,7,112,43,0,12,1150,170,68,44
0,14,7,118,38,2,8,1158,164,48,37,1,4,653376,1,4,7,118,38,1,5,1083,185,73,54,1,4,7,118,40,6,12,1082,145,50,43
2,15,7,118,23,0,7,1111,175,41,32,1,4,653376,1,4,7,118,38,2,8,1158,164,48,37,1,4,7,118,38,1,5,1083,185,73,54
1,16,6,118,24,2,6,1027,179,46,44,1,4,653376,1,4,7,118,23,0,7,1111,175,41,32,1,4,7,118,38,2,8,1158,164,48,37
1,17,6,118,31,1,8,996,187,47,41,1,4,653376,1,4,6,118,24,2,6,1027,179,46,44,1,4,7,118,23,0,7,1111,175,41,32
2,18,6,115,24,1,6,1006,166,49,46,1,4,653376,1,4,6,118,31,1,8,996,187,47,41,1,4,6,118,24,2,6,1027,179,46,44
1,19,6,115,26,2,5,1027,159,58,26,1,4,653376,1,4,6,115,24,1,6,1006,166,49,46,1,4,6,118,31,1,8,996,187,47,41
0,20,6,115,20,1,4,917,150,33,31,1,4,653376,1,4,6,115,26,2,5,1027,159,58,26,1,4,6,115,24,1,6,1006,166,49,46
3,21,6,115,9,0,4,890,132,48,51,1,4,653376,1,4,6,115,20,1,4,917,150,33,31,1,4,6,115,26,2,5,1027,159,58,26
4,22,6,115,21,3,5,889,127,43,36,1,4,653376,1,4,6,115,9,0,4,890,132,48,51,1,4,6,115,20,1,4,917,150,33,31
2,23,6,115,22,4,3,840,127,43,47,1,4,653376,1,4,6,115,21,3,5,889,127,43,36,1,4,6,115,9,0,4,890,132,48,51
0,24,6,117,17,2,3,870,114,31,45,1,4,653376,1,4,6,115,22,4,3,840,127,43,47,1,4,6,115,21,3,5,889,127,43,36
2,25,6,117,13,0,5,821,130,26,25,1,4,653376,1,4,6,117,17,2,3,870,114,31,45,1,4,6,115,22,4,3,840,127,43,47
2,26,6,117,11,2,3,753,116,28,26,1,4,653376,1,4,6,117,13,0,5,821,130,26,25,1,4,6,117,17,2,3,870,114,31,45
0,27,6,117,12,2,1,678,74,20,40,1,4,653376,1,4,6,117,11,2,3,753,116,28,26,1,4,6,117,13,0,5,821,130,26,25
0,28,6,117,7,0,4,655,85,25,35,1,4,653376,1,4,6,117,12,2,1,678,74,20,40,1,4,6,117,11,2,3,753,116,28,26
0,29,6,117,13,0,0,666,123,38,42,1,4,653376,1,4,6,117,7,0,4,655,85,25,35,1,4,6,117,12,2,1,678,74,20,40
1,30,6,117,11,0,1,724,77,45,34,1,4,653376,1,4,6,117,13,0,0,666,123,38,42,1,4,6,117,7,0,4,655,85,25,35
3,31,6,110,13,1,1,730,107,23,41,1,4,653376,1,4,6,117,11,0,1,724,77,45,34,1,4,6,117,13,0,0,666,123,38,42
2,32,6,110,8,3,1,664,100,33,29,1,4,653376,1,4,6,110,13,1,1,730,107,23,41,1,4,6,117,11,0,1,724,77,45,34
3,33,6,110,12,2,3,769,124,36,31,1,4,653376,1,4,6,110,8,3,1,664,100,33,29,1,4,6,110,13,1,1,730,107,23,41
10,34,6,110,8,3,2,746,120,30,31,1,4,653376,1,4,6,110,12,2,3,769,124,36,31,1,4,6,110,8,3,1,664,100,33,29
3,35,6,110,22,10,2,815,98,37,36,1,4,653376,1,4,6,110,8,3,2,746,120,30,31,1,4,6,110,12,2,3,769,124,36,31
2,36,6,110,9,3,2,676,133,47,44,1,4,653376,1,4,6,110,22,10,2,815,98,37,36,1,4,6,110,8,3,2,746,120,30,31
2,37,6,102,20,2,2,943,120,31,50,1,4,653376,1,4,6,110,9,3,2,676,133,47,44,1,4,6,110,22,10,2,815,98,37,36
4,38,6,102,15,2,5,885,130,26,57,1,4,653376,1,4,6,102,20,2,2,943,120,31,50,1,4,6,110,9,3,2,676,133,47,44
3,39,6,102,21,4,4,879,107,40,28,1,4,653376,1,4,6,102,15,2,5,885,130,26,57,1,4,6,102,20,2,2,943,120,31,50
9,40,6,102,20,3,8,806,147,31,39,1,4,653376,1,4,6,102,21,4,4,879,107,40,28,1,4,6,102,15,2,5,885,130,26,57
6,41,6,102,37,9,10,911,127,54,27,1,4,653376,1,4,6,102,20,3,8,806,147,31,39,1,4,6,102,21,4,4,879,107,40,28
5,42,6,102,50,6,14,1038,116,25,25,1,4,653376,1,4,6,102,37,9,10,911,127,54,27,1,4,6,102,20,3,8,806,147,31,39
1,43,6,104,54,5,15,1017,140,35,47,1,4,653376,1,4,6,102,50,6,14,1038,116,25,25,1,4,6,102,37,9,10,911,127,54,27
2,44,6,104,53,1,25,1096,159,46,44,1,8,653376,1,4,6,104,54,5,15,1017,140,35,47,1,4,6,102,50,6,14,1038,116,25,25
2,45,6,104,60,2,21,1200,157,42,47,1,8,653376,1,8,6,104,53,1,25,1096,159,46,44,1,4,6,104,54,5,15,1017,140,35,47
3,46,6,104,84,2,48,1246,220,73,64,1,8,653376,1,8,6,104,60,2,21,1200,157,42,47,1,8,6,104,53,1,25,1096,159,46,44
2,47,6,104,117,3,44,1331,254,76,60,1,8,653376,1,8,6,104,84,2,48,1246,220,73,64,1,8,6,104,60,2,21,1200,157,42,47
4,48,6,97,116,2,47,1425,255,61,62,1,8,653376,1,8,6,104,117,3,44,1331,254,76,60,1,8,6,104,84,2,48,1246,220,73,64
2,49,6,97,114,4,43,1414,249,86,61,1,8,653376,1,8,6,97,116,2,47,1425,255,61,62,1,8,6,104,117,3,44,1331,254,76,60
12,53,6,97,192,2,70,1503,300,87,86,1,4,653376,1,4,6,97,155,1,48,1528,266,90,89,1,8,6,97,173,3,57,1397,288,100,59
2,54,6,93,231,12,85,1498,297,88,81,1,4,653376,1,4,6,97,192,2,70,1503,300,87,86,1,4,6,97,155,1,48,1528,266,90,89
2,55,6,93,166,2,43,1498,285,94,80,1,4,653376,1,4,6,93,231,12,85,1498,297,88,81,1,4,6,97,192,2,70,1503,300,87,86
1,56,6,93,175,2,41,1522,283,76,65,1,4,653376,1,4,6,93,166,2,43,1498,285,94,80,1,4,6,93,231,12,85,1498,297,88,81
3,57,6,93,179,1,55,1500,318,95,66,1,4,653376,1,4,6,93,175,2,41,1522,283,76,65,1,4,6,93,166,2,43,1498,285,94,80
0,58,6,93,162,3,38,1489,318,76,80,1,4,653376,1,4,6,93,179,1,55,1500,318,95,66,1,4,6,93,175,2,41,1522,283,76,65
4,59,6,93,112,0,44,1523,317,108,88,1,4,653376,1,4,6,93,162,3,38,1489,318,76,80,1,4,6,93,179,1,55,1500,318,95,66
7,60,6,75,166,4,52,1471,281,67,69,1,4,653376,1,4,6,93,112,0,44,1523,317,108,88,1,4,6,93,162,3,38,1489,318,76,80
1,61,6,75,166,7,43,1476,375,114,80,1,4,653376,1,4,6,75,166,4,52,1471,281,67,69,1,4,6,93,112,0,44,1523,317,108,88
1,68,6,55,151,1,61,1450,329,72,76,1,4,653376,1,4,6,55,139,2,43,1364,362,108,81,1,4,6,75,159,5,50,1457,326,110,98
9,69,6,55,161,1,62,1426,298,124,89,1,4,653376,1,4,6,55,151,1,61,1450,329,72,76,1,4,6,55,139,2,43,1364,362,108,81
8,70,6,55,194,9,64,1491,356,98,87,1,4,653376,1,4,6,55,161,1,62,1426,298,124,89,1,4,6,55,151,1,61,1450,329,72,76
7,71,6,55,222,8,62,1433,344,111,70,1,4,653376,1,4,6,55,194,9,64,1491,356,98,87,1,4,6,55,161,1,62,1426,298,124,89
6,72,6,58,219,7,61,1478,347,120,76,1,4,653376,1,4,6,55,222,8,62,1433,344,111,70,1,4,6,55,194,9,64,1491,356,98,87
4,73,6,58,188,6,68,1413,349,118,101,1,4,653376,1,4,6,58,219,7,61,1478,347,120,76,1,4,6,55,222,8,62,1433,344,111,70
3,77,6,58,207,3,59,1546,382,129,75,1,4,653376,1,4,6,58,198,5,59,1425,362,142,82,1,4,6,58,213,5,86,1484,378,113,100
3,78,6,53,217,3,54,1450,405,99,83,1,4,653376,1,4,6,58,207,3,59,1546,382,129,75,1,4,6,58,198,5,59,1425,362,142,82
5,79,6,53,210,3,69,1461,372,101,80,1,4,653376,1,4,6,53,217,3,54,1450,405,99,83,1,4,6,58,207,3,59,1546,382,129,75
9,80,6,53,222,5,76,1463,392,104,80,1,4,653376,1,4,6,53,210,3,69,1461,372,101,80,1,4,6,53,217,3,54,1450,405,99,83
4,81,6,53,191,9,56,1415,373,142,86,1,4,653376,1,4,6,53,222,5,76,1463,392,104,80,1,4,6,53,210,3,69,1461,372,101,80
4,82,6,53,208,4,67,1475,352,85,82,1,4,653376,1,4,6,53,191,9,56,1415,373,142,86,1,4,6,53,222,5,76,1463,392,104,80
6,83,6,53,221,4,71,1399,366,143,97,1,4,653376,1,4,6,53,208,4,67,1475,352,85,82,1,4,6,53,191,9,56,1415,373,142,86
3,84,6,51,208,6,55,1451,362,114,97,1,4,653376,1,4,6,53,221,4,71,1399,366,143,97,1,4,6,53,208,4,67,1475,352,85,82
5,85,6,51,225,3,90,1517,349,102,102,1,4,653376,1,4,6,51,208,6,55,1451,362,114,97,1,4,6,53,221,4,71,1399,366,143,97
5,86,6,51,207,5,78,1512,354,117,88,1,4,653376,1,4,6,51,225,3,90,1517,349,102,102,1,4,6,51,208,6,55,1451,362,114,97
2,87,6,51,197,5,63,1468,402,90,104,1,4,653376,1,4,6,51,207,5,78,1512,354,117,88,1,4,6,51,225,3,90,1517,349,102,102
5,88,6,51,194,2,71,1439,373,111,83,1,4,653376,1,4,6,51,197,5,63,1468,402,90,104,1,4,6,51,207,5,78,1512,354,117,88
