out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
15,5,12,170,47,9,16,1118,200,50,58,1,4,653376,1,4,12,170,60,12,12,1143,154,43,55,1,4,12,170,47,11,16,1238,175,48,47
3,6,12,165,56,15,7,1135,155,68,55,1,8,653376,1,4,12,170,47,9,16,1118,200,50,58,1,4,12,170,60,12,12,1143,154,43,55
3,7,12,165,37,3,15,1120,176,75,30,1,8,653376,1,8,12,165,56,15,7,1135,155,68,55,1,4,12,170,47,9,16,1118,200,50,58
2,8,12,165,23,3,8,1160,130,42,42,1,8,653376,1,8,12,165,37,3,15,1120,176,75,30,1,8,12,165,56,15,7,1135,155,68,55
2,9,12,165,26,2,10,1016,144,36,45,1,8,653376,1,8,12,165,23,3,8,1160,130,42,42,1,8,12,165,37,3,15,1120,176,75,30
4,10,12,165,23,2,5,1023,120,57,59,1,8,653376,1,8,12,165,26,2,10,1016,144,36,45,1,8,12,165,23,3,8,1160,130,42,42
4,11,11,165,22,4,4,1016,119,45,26,1,8,653376,1,8,12,165,23,2,5,1023,120,57,59,1,8,12,165,26,2,10,1016,144,36,45
8,12,11,159,23,4,1,966,130,32,44,1,8,653376,1,8,11,165,22,4,4,1016,119,45,26,1,8,12,165,23,2,5,1023,120,57,59
4,13,11,159,19,8,4,992,130,51,35,1,8,653376,1,8,11,159,23,4,1,966,130,32,44,1,8,11,165,22,4,4,1016,119,45,26
6,14,11,159,27,4,2,996,167,48,46,1,8,653376,1,8,11,159,19,8,4,992,130,51,35,1,8,11,159,23,4,1,966,130,32,44
3,15,11,159,22,6,5,948,109,56,27,1,8,653376,1,8,11,159,27,4,2,996,167,48,46,1,8,11,159,19,8,4,992,130,51,35
10,16,11,159,19,3,5,839,151,26,53,1,8,653376,1,8,11,159,22,6,5,948,109,56,27,1,8,11,159,27,4,2,996,167,48,46
3,17,11,159,17,10,3,848,118,35,32,1,8,653376,1,8,11,159,19,3,5,839,151,26,53,1,8,11,159,22,6,5,948,109,56,27
5,18,11,159,12,3,2,732,102,40,30,1,8,653376,1,8,11,159,17,10,3,848,118,35,32,1,8,11,159,19,3,5,839,151,26,53
7,19,11,148,17,5,1,859,113,40,45,1,8,653376,1,8,11,159,12,3,2,732,102,40,30,1,8,11,159,17,10,3,848,118,35,32
5,20,11,148,16,7,3,772,90,37,34,1,4,653376,1,8,11,148,17,5,1,859,113,40,45,1,8,11,159,12,3,2,732,102,40,30
