out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
1,5,3,177,173,5,195,1490,287,98,78,1,1,653376,1,1,3,177,192,10,131,1491,322,99,64,1,1,3,177,198,7,71,1399,318,102,94
1,6,3,177,153,1,203,1425,302,95,51,1,1,653376,1,1,3,177,173,5,195,1490,287,98,78,1,1,3,177,192,10,131,1491,322,99,64
6,7,3,177,133,1,162,1327,313,94,66,1,1,653376,1,1,3,177,153,1,203,1425,302,95,51,1,1,3,177,173,5,195,1490,287,98,78
2,8,3,177,133,6,127,1361,258,68,55,1,1,653376,1,1,3,177,133,1,162,1327,313,94,66,1,1,3,177,153,1,203,1425,302,95,51
6,9,3,177,130,2,139,1395,280,97,69,1,1,653376,1,1,3,177,133,6,127,1361,258,68,55,1,1,3,177,133,1,162,1327,313,94,66
6,10,3,177,120,6,113,1348,272,93,97,1,1,653376,1,1,3,177,130,2,139,1395,280,97,69,1,1,3,177,133,6,127,1361,258,68,55
2,11,3,177,111,6,110,1417,236,93,53,1,1,653376,1,1,3,177,120,6,113,1348,272,93,97,1,1,3,177,130,2,139,1395,280,97,69
3,12,3,206,73,2,68,1316,241,82,64,1,1,653376,1,1,3,177,111,6,110,1417,236,93,53,1,1,3,177,120,6,113,1348,272,93,97
1,13,3,206,73,3,59,1393,254,65,65,1,1,653376,1,1,3,206,73,2,68,1316,241,82,64,1,1,3,177,111,6,110,1417,236,93,53
4,14,3,206,62,1,51,1339,241,87,69,1,1,653376,1,1,3,206,73,3,59,1393,254,65,65,1,1,3,206,73,2,68,1316,241,82,64
3,15,3,206,71,4,37,1390,198,69,47,1,1,653376,1,1,3,206,62,1,51,1339,241,87,69,1,1,3,206,73,3,59,1393,254,65,65
11,16,3,206,59,3,29,1303,199,65,51,1,1,653376,1,1,3,206,71,4,37,1390,198,69,47,1,1,3,206,62,1,51,1339,241,87,69
20,17,3,206,84,11,41,1296,190,60,60,1,1,653376,1,1,3,206,59,3,29,1303,199,65,51,1,1,3,206,71,4,37,1390,198,69,47
18,18,3,206,73,20,45,1259,131,50,50,1,1,653376,1,1,3,206,84,11,41,1296,190,60,60,1,1,3,206,59,3,29,1303,199,65,51
11,19,3,205,65,18,38,1277,161,47,52,1,1,653376,1,1,3,206,73,20,45,1259,131,50,50,1,1,3,206,84,11,41,1296,190,60,60
6,20,3,205,61,11,42,1211,143,54,51,1,1,653376,1,1,3,205,65,18,38,1277,161,47,52,1,1,3,206,73,20,45,1259,131,50,50
2,21,3,205,46,6,19,1160,163,39,51,1,1,653376,1,1,3,205,61,11,42,1211,143,54,51,1,1,3,205,65,18,38,1277,161,47,52
1,22,3,205,41,2,25,1165,153,48,51,1,1,653376,1,1,3,205,46,6,19,1160,163,39,51,1,1,3,205,61,11,42,1211,143,54,51
3,23,3,205,32,1,12,1115,140,49,47,1,1,653376,1,1,3,205,41,2,25,1165,153,48,51,1,1,3,205,46,6,19,1160,163,39,51
8,24,3,195,40,3,8,1118,126,52,46,1,1,653376,1,1,3,205,32,1,12,1115,140,49,47,1,1,3,205,41,2,25,1165,153,48,51
1,25,3,195,30,8,9,1061,141,34,38,1,1,653376,1,1,3,195,40,3,8,1118,126,52,46,1,1,3,205,32,1,12,1115,140,49,47
1,26,3,195,18,1,10,1026,129,47,57,1,1,653376,1,1,3,195,30,8,9,1061,141,34,38,1,1,3,195,40,3,8,1118,126,52,46
5,27,3,195,24,1,12,1120,129,44,48,1,1,653376,1,1,3,195,18,1,10,1026,129,47,57,1,1,3,195,30,8,9,1061,141,34,38
0,28,3,195,29,5,8,982,145,45,40,1,1,653376,1,1,3,195,24,1,12,1120,129,44,48,1,1,3,195,18,1,10,1026,129,47,57
4,29,3,195,16,0,12,918,116,52,43,1,1,653376,1,1,3,195,29,5,8,982,145,45,40,1,1,3,195,24,1,12,1120,129,44,48
13,30,3,195,21,4,12,978,139,54,43,1,1,653376,1,1,3,195,16,0,12,918,116,52,43,1,1,3,195,29,5,8,982,145,45,40
28,31,3,184,25,13,6,1029,126,42,49,1,1,653376,1,1,3,195,21,4,12,978,139,54,43,1,1,3,195,16,0,12,918,116,52,43
17,32,3,184,44,28,17,1018,117,43,58,1,1,653376,1,1,3,184,25,13,6,1029,126,42,49,1,1,3,195,21,4,12,978,139,54,43
22,33,3,184,35,17,12,995,142,42,46,1,1,653376,1,1,3,184,44,28,17,1018,117,43,58,1,1,3,184,25,13,6,1029,126,42,49
50,34,2,184,31,22,22,964,145,41,65,1,1,653376,1,1,3,184,35,17,12,995,142,42,46,1,1,3,184,44,28,17,1018,117,43,58
55,35,2,184,63,50,26,931,101,38,33,1,1,653376,1,1,2,184,31,22,22,964,145,41,65,1,1,3,184,35,17,12,995,142,42,46
113,36,2,184,64,55,25,984,110,31,31,1,1,653376,1,1,2,184,63,50,26,931,101,38,33,1,1,2,184,31,22,22,964,145,41,65
211,37,2,184,128,113,23,886,107,53,44,1,1,653376,1,1,2,184,64,55,25,984,110,31,31,1,1,2,184,63,50,26,931,101,38,33
216,38,2,184,227,211,27,888,105,44,43,1,1,653376,1,1,2,184,128,113,23,886,107,53,44,1,1,2,184,64,55,25,984,110,31,31
213,39,2,184,240,216,38,936,110,41,34,1,1,653376,1,1,2,184,227,211,27,888,105,44,43,1,1,2,184,128,113,23,886,107,53,44
247,40,2,184,240,213,21,889,131,32,24,1,1,653376,1,1,2,184,240,216,38,936,110,41,34,1,1,2,184,227,211,27,888,105,44,43
185,41,2,184,297,247,24,1053,128,46,47,1,1,653376,1,1,2,184,240,213,21,889,131,32,24,1,1,2,184,240,216,38,936,110,41,34
68,42,2,181,246,185,42,1167,163,49,52,1,1,653376,1,1,2,184,297,247,24,1053,128,46,47,1,1,2,184,240,213,21,889,131,32,24
58,43,2,181,148,68,52,1153,145,56,53,1,1,653376,1,1,2,181,246,185,42,1167,163,49,52,1,1,2,184,297,247,24,1053,128,46,47
9,44,2,181,156,58,35,1239,136,62,62,1,1,653376,1,1,2,181,148,68,52,1153,145,56,53,1,1,2,181,246,185,42,1167,163,49,52
3,45,2,181,106,9,32,1190,184,86,45,1,1,653376,1,1,2,181,156,58,35,1239,136,62,62,1,1,2,181,148,68,52,1153,145,56,53
4,46,2,181,112,3,45,1347,206,61,61,1,1,653376,1,1,2,181,106,9,32,1190,184,86,45,1,1,2,181,156,58,35,1239,136,62,62
4,47,2,181,129,4,33,1398,237,65,60,1,8,653376,1,1,2,181,112,3,45,1347,206,61,61,1,1,2,181,106,9,32,1190,184,86,45
6,48,2,175,149,4,35,1449,221,70,55,1,8,653376,1,8,2,181,129,4,33,1398,237,65,60,1,1,2,181,112,3,45,1347,206,61,61
5,49,2,175,137,6,48,1462,227,82,78,1,8,653376,1,8,2,175,149,4,35,1449,221,70,55,1,8,2,181,129,4,33,1398,237,65,60
3,50,2,175,143,5,51,1402,231,65,79,1,8,653376,1,8,2,175,137,6,48,1462,227,82,78,1,8,2,175,149,4,35,1449,221,70,55
2,51,2,175,162,3,54,1406,237,97,65,1,8,653376,1,8,2,175,143,5,51,1402,231,65,79,1,8,2,175,137,6,48,1462,227,82,78
3,52,3,175,153,2,40,1496,228,83,73,1,8,653376,1,8,2,175,162,3,54,1406,237,97,65,1,8,2,175,143,5,51,1402,231,65,79
3,53,3,175,168,3,64,1521,265,76,82,1,8,653376,1,8,3,175,153,2,40,1496,228,83,73,1,8,2,175,162,3,54,1406,237,97,65
7,54,3,178,162,3,71,1429,271,77,66,1,8,653376,1,8,3,175,168,3,64,1521,265,76,82,1,8,3,175,153,2,40,1496,228,83,73
3,55,3,178,157,7,50,1508,266,78,45,1,8,653376,1,8,3,178,162,3,71,1429,271,77,66,1,8,3,175,168,3,64,1521,265,76,82
2,56,3,178,125,3,60,1493,337,92,74,1,8,653376,1,8,3,178,157,7,50,1508,266,78,45,1,8,3,178,162,3,71,1429,271,77,66
