out,in_time,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_weather_0,in_temperature_0,in_pm25_0,in_area_0,in_totalOrders_0,in_poiCount,in_area_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_weather_1,in_temperature_1,in_pm25_1,in_area_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2,in_weather_2,in_temperature_2,in_pm25_2
6,120,7,32,1625,461,157,105,4,1,48,1,188,653376,1,199,4,43,1605,437,133,130,4,2,44,1,230,9,44,1596,451,155,134,4,1,44
4,121,6,43,1626,446,162,112,4,1,48,1,188,653376,1,188,7,32,1625,461,157,105,4,1,48,1,199,4,43,1605,437,133,130,4,2,44
5,122,4,53,1663,414,154,117,4,1,48,1,240,653376,1,188,6,43,1626,446,162,112,4,1,48,1,188,7,32,1625,461,157,105,4,1,48
5,123,5,41,1569,466,147,106,4,1,48,1,279,653376,1,240,4,53,1663,414,154,117,4,1,48,1,188,6,43,1626,446,162,112,4,1,48
11,124,5,35,1643,371,142,101,2,1,48,1,240,653376,1,279,5,41,1569,466,147,106,4,1,48,1,240,4,53,1663,414,154,117,4,1,48
6,125,11,43,1685,370,126,102,2,1,48,1,263,653376,1,240,5,35,1643,371,142,101,2,1,48,1,279,5,41,1569,466,147,106,4,1,48
5,126,6,44,1614,386,150,93,2,1,53,1,224,653376,1,263,11,43,1685,370,126,102,2,1,48,1,240,5,35,1643,371,142,101,2,1,48
7,127,5,59,1666,372,118,104,2,1,53,1,252,653376,1,224,6,44,1614,386,150,93,2,1,53,1,263,11,43,1685,370,126,102,2,1,48
6,128,7,40,1630,364,122,90,2,1,53,1,270,653376,1,252,5,59,1666,372,118,104,2,1,53,1,224,6,44,1614,386,150,93,2,1,53
6,129,6,33,1550,385,138,61,2,1,53,1,252,653376,1,270,7,40,1630,364,122,90,2,1,53,1,252,5,59,1666,372,118,104,2,1,53
7,130,6,37,1603,353,122,89,2,1,53,1,197,653376,1,252,6,33,1550,385,138,61,2,1,53,1,270,7,40,1630,364,122,90,2,1,53
3,131,7,25,1595,362,117,84,2,1,53,1,202,653376,1,197,6,37,1603,353,122,89,2,1,53,1,252,6,33,1550,385,138,61,2,1,53
