out,in_time,in_temperature_0,in_pm25_0,in_totalOrders_0,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_weather_0,in_poiCount,in_area_1,in_weather_1,in_temperature_1,in_pm25_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_weather_2,in_temperature_2,in_pm25_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
0,5,3,198,44,0,20,1224,148,53,57,1,2,653376,1,2,3,195,42,0,13,1205,168,63,40,1,2,3,195,51,3,10,1213,184,64,53
1,6,2,203,35,0,6,1190,169,62,47,1,2,653376,1,2,3,198,44,0,20,1224,148,53,57,1,2,3,195,42,0,13,1205,168,63,40
2,7,2,203,35,1,5,1176,127,44,47,1,1,653376,1,2,2,203,35,0,6,1190,169,62,47,1,2,3,198,44,0,20,1224,148,53,57
1,8,2,203,34,2,11,1107,159,61,40,1,1,653376,1,1,2,203,35,1,5,1176,127,44,47,1,2,2,203,35,0,6,1190,169,62,47
1,9,2,203,23,1,10,1122,127,63,41,1,1,653376,1,1,2,203,34,2,11,1107,159,61,40,1,1,2,203,35,1,5,1176,127,44,47
0,10,2,203,29,1,8,996,174,49,49,1,1,653376,1,1,2,203,23,1,10,1122,127,63,41,1,1,2,203,34,2,11,1107,159,61,40
1,11,2,203,24,0,6,1006,162,39,33,1,1,653376,1,1,2,203,29,1,8,996,174,49,49,1,1,2,203,23,1,10,1122,127,63,41
3,12,2,199,30,1,3,1005,129,47,42,1,1,653376,1,1,2,203,24,0,6,1006,162,39,33,1,1,2,203,29,1,8,996,174,49,49
0,13,2,199,23,3,3,934,138,35,49,1,1,653376,1,1,2,199,30,1,3,1005,129,47,42,1,1,2,203,24,0,6,1006,162,39,33
2,14,2,199,18,0,2,1008,136,29,26,1,1,653376,1,1,2,199,23,3,3,934,138,35,49,1,1,2,199,30,1,3,1005,129,47,42
1,15,2,199,28,2,1,939,120,31,37,1,1,653376,1,1,2,199,18,0,2,1008,136,29,26,1,1,2,199,23,3,3,934,138,35,49
0,16,2,199,24,1,3,922,100,31,43,1,1,653376,1,1,2,199,28,2,1,939,120,31,37,1,1,2,199,18,0,2,1008,136,29,26
2,17,2,199,8,0,3,928,116,41,34,1,1,653376,1,1,2,199,24,1,3,922,100,31,43,1,1,2,199,28,2,1,939,120,31,37
0,18,1,199,13,2,6,838,121,30,33,1,1,653376,1,1,2,199,8,0,3,928,116,41,34,1,1,2,199,24,1,3,922,100,31,43
1,19,1,186,12,0,5,932,93,26,27,1,1,653376,1,1,1,199,13,2,6,838,121,30,33,1,1,2,199,8,0,3,928,116,41,34
0,20,1,186,11,1,6,887,127,44,36,1,1,653376,1,1,1,186,12,0,5,932,93,26,27,1,1,1,199,13,2,6,838,121,30,33
1,21,1,186,6,0,3,772,96,29,21,1,1,653376,1,1,1,186,11,1,6,887,127,44,36,1,1,1,186,12,0,5,932,93,26,27
