out,in_time,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_weather_0,in_temperature_0,in_pm25_0,in_area_0,in_totalOrders_0,in_poiCount,in_area_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_weather_1,in_temperature_1,in_pm25_1,in_area_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2,in_weather_2,in_temperature_2,in_pm25_2
5,8,11,9,1061,162,65,39,2,5,60,1,42,653376,1,36,0,7,1081,175,59,51,2,5,60,1,37,0,8,1102,174,56,44,2,5,60
3,9,5,4,1021,177,56,44,2,5,60,1,28,653376,1,42,11,9,1061,162,65,39,2,5,60,1,36,0,7,1081,175,59,51,2,5,60
0,10,3,2,1053,131,50,53,2,5,60,1,26,653376,1,28,5,4,1021,177,56,44,2,5,60,1,42,11,9,1061,162,65,39,2,5,60
1,11,0,3,985,166,45,41,2,5,60,1,18,653376,1,26,3,2,1053,131,50,53,2,5,60,1,28,5,4,1021,177,56,44,2,5,60
3,12,1,7,994,141,40,52,2,5,53,1,25,653376,1,18,0,3,985,166,45,41,2,5,60,1,26,3,2,1053,131,50,53,2,5,60
0,13,3,3,1012,132,32,36,2,5,53,1,41,653376,1,25,1,7,994,141,40,52,2,5,53,1,18,0,3,985,166,45,41,2,5,60
5,14,0,2,1024,142,34,28,2,5,53,1,21,653376,1,41,3,3,1012,132,32,36,2,5,53,1,25,1,7,994,141,40,52,2,5,53
1,15,5,4,1034,115,40,33,2,5,53,1,24,653376,1,21,0,2,1024,142,34,28,2,5,53,1,41,3,3,1012,132,32,36,2,5,53
6,16,1,4,870,119,47,41,2,5,53,1,20,653376,1,24,5,4,1034,115,40,33,2,5,53,1,21,0,2,1024,142,34,28,2,5,53
0,17,6,2,851,90,28,34,2,5,53,1,16,653376,1,20,1,4,870,119,47,41,2,5,53,1,24,5,4,1034,115,40,33,2,5,53
1,18,0,4,825,108,30,34,2,5,48,1,10,653376,1,16,6,2,851,90,28,34,2,5,53,1,20,1,4,870,119,47,41,2,5,53
1,19,1,1,793,124,45,37,2,5,48,1,13,653376,1,10,0,4,825,108,30,34,2,5,48,1,16,6,2,851,90,28,34,2,5,53
0,20,1,1,798,121,30,34,2,5,48,1,18,653376,1,13,1,1,793,124,45,37,2,5,48,1,10,0,4,825,108,30,34,2,5,48
5,21,0,4,769,110,34,38,2,5,48,1,7,653376,1,18,1,1,798,121,30,34,2,5,48,1,13,1,1,793,124,45,37,2,5,48
6,22,5,3,795,93,29,25,2,5,48,1,17,653376,1,7,0,4,769,110,34,38,2,5,48,1,18,1,1,798,121,30,34,2,5,48
3,23,6,1,717,104,27,41,2,5,48,1,18,653376,1,17,5,3,795,93,29,25,2,5,48,1,7,0,4,769,110,34,38,2,5,48
1,24,3,3,771,107,33,37,2,5,41,1,11,653376,1,18,6,1,717,104,27,41,2,5,48,1,17,5,3,795,93,29,25,2,5,48
0,25,1,3,700,98,29,40,2,5,41,1,9,653376,1,11,3,3,771,107,33,37,2,5,41,1,18,6,1,717,104,27,41,2,5,48
0,26,0,3,735,132,30,49,2,4,41,1,3,653376,1,9,1,3,700,98,29,40,2,5,41,1,11,3,3,771,107,33,37,2,5,41
1,27,0,6,759,80,38,31,2,4,41,1,4,653376,1,3,0,3,735,132,30,49,2,4,41,1,9,1,3,700,98,29,40,2,5,41
0,28,1,2,734,106,38,28,2,4,41,1,8,653376,1,4,0,6,759,80,38,31,2,4,41,1,3,0,3,735,132,30,49,2,4,41
2,29,0,1,623,90,23,40,2,4,41,1,1,653376,1,8,1,2,734,106,38,28,2,4,41,1,4,0,6,759,80,38,31,2,4,41
0,30,2,2,619,94,27,30,2,4,41,1,4,653376,1,1,0,1,623,90,23,40,2,4,41,1,8,1,2,734,106,38,28,2,4,41
2,31,0,0,659,142,34,41,2,4,43,1,11,653376,1,4,2,2,619,94,27,30,2,4,41,1,1,0,1,623,90,23,40,2,4,41
