time,weather,pm25,averageOf,temperature
1,2,131,2,8
2,2,131,2,8
3,2,131,2,8
4,2,131,2,8
5,2,140,2,8
6,2,140,2,8
7,2,140,2,8
8,2,140,2,8
9,2,140,2,8
10,2,140,2,8
11,2,163,2,8
12,2,163,2,8
13,2,163,2,8
14,2,163,2,8
15,2,163,2,8
16,2,163,2,8
17,2,173,2,8
18,2,173,2,8
19,2,173,2,8
20,2,173,2,8
21,2,173,2,8
22,2,173,2,8
23,2,179,2,8
24,2,179,2,8
25,2,179,2,8
26,2,179,2,8
27,2,179,2,8
28,2,179,2,8
29,2,179,2,8
30,2,179,2,8
31,2,179,2,8
32,2,179,2,8
33,2,179,2,7.5
34,2,179,2,7
35,2,179,2,7
36,2,174,2,7
37,2,174,2,7
38,2,174,2,7
39,2,174,2,7
40,2,174,2,7
41,2,170,2,7
42,2,170,2,7
43,2,170,2,7
44,2,170,2,7
45,2,170,2,7
46,2,170,2,7
47,2,166,2,6.5
48,2,166,2,6.5
49,2,166,2,7
50,2,166,2,7
51,2,166,2,7
52,2,166,2,7
53,2,160,2,7.5
54,2,160,2,8
55,2,160,2,8
56,2,160,2,8
57,2,160,2,8.5
58,2,160,2,9
59,2,160,2,9
60,2.5,160,2,9
61,3,160,2,9
62,3,160,2,10
63,3,160,2,10.5
64,3,160,2,11
65,3,161,2,12
66,3,161,2,12
67,3,161,2,12
68,3,161,2,12.5
69,3,161,2,13
70,3,161,2,13.5
71,3,167,2,14
72,3,167,2,14
73,6,167,2,15
74,5.5,167,2,15
75,2,167,2,15
76,2,167,2,15
77,2,156,2,15
78,2,156,2,15
79,2,156,2,15
80,2,156,2,15
81,2,156,2,15
82,2,156,2,15
83,2,142,2,15
84,2,142,2,16
85,2,142,2,16
86,2,142,2,16
87,2,142,2,16
88,2,142,2,16
89,2,142,2,16
90,2,114,2,16
91,5.5,114,2,16
92,5.5,114,2,16.5
93,2,114,2,17
94,2,114,2,17
95,2,103,2,17.5
96,2,103,2,17.5
97,2,103,2,17
98,2,103,2,17
99,2,103,2,17
100,2,103,2,17
101,2,91,2,16.5
102,2,91,2,16
103,2,91,2,15.5
104,2,91,2,15
105,2,91,2,15
106,2,91,2,14
107,2,85,2,14
108,2,85,2,13.5
109,5.5,85,2,14
110,5.5,85,2,14
111,2,85,2,13.5
112,2,85,2,13.5
113,2,86,2,13.5
114,2,86,2,13
115,2,86,2,13
116,2,86,2,13
117,2,86,2,13
118,2,86,2,13
119,2,100,2,13
120,2,100,2,12
121,2,100,2,13
122,2,100,2,12.5
123,2,100,2,12
124,2,100,2,12
125,2,118,2,11.5
126,2,118,2,11.5
127,2.5,118,2,12
128,2.5,118,2,11
129,2,118,2,11
130,2,118,2,11
131,2,131,2,11
132,3,131,2,11
133,4,131,2,11
134,4,131,2,11
135,4,131,2,11
136,4,131,2,11
137,4,146,2,10.5
138,4,146,2,10
139,4,146,2,10
140,4,146,2,10.5
141,4,146,2,10.5
142,4,146,2,10
143,4,151,2,10
144,4,151,2,10
