area,time,timeSpan,poiCount,weather,temperature,pm25,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4
1,1,00:00:00==>00:10:00,653376,3,3,94,55,1,0.01818181818181818,17,,,,
1,2,00:10:00==>00:20:00,653376,3,3,94,52,2,0.038461538461538464,11,1174,195,76,69
1,3,00:20:00==>00:30:00,653376,3,3,94,38,4,0.10526315789473684,8,1163,200,38,56
1,4,00:30:00==>00:40:00,653376,3,3,96,26,1,0.038461538461538464,11,1165,192,48,54
1,5,00:40:00==>00:50:00,653376,3,3,99,33,1,0.030303030303030304,14,1185,197,57,38
1,6,00:50:00==>01:00:00,653376,3,3,99,34,1,0.029411764705882353,2,1088,146,51,49
1,7,01:00:00==>01:10:00,653376,3,3,99,25,0,0,8,1108,158,51,47
1,8,01:10:00==>01:20:00,653376,3,3,99,26,2,0.07692307692307693,9,1096,148,62,44
1,9,01:20:00==>01:30:00,653376,3,3,99,30,3,0.1,7,1050,116,55,45
1,10,01:30:00==>01:40:00,653376,3,3,99,30,1,0.03333333333333333,8,1056,123,48,49
1,11,01:40:00==>01:50:00,653376,3,3,101,25,0,0,5,982,164,46,42
1,12,01:50:00==>02:00:00,653376,3,3,101,19,0,0,4,1005,141,54,38
1,13,02:00:00==>02:10:00,653376,3,3,101,25,0,0,7,987,129,45,50
1,14,02:10:00==>02:20:00,653376,3,3,101,21,4,0.19047619047619047,5,938,117,45,39
1,15,02:20:00==>02:30:00,653376,3,3,101,16,1,0.0625,6,914,105,30,49
1,16,02:30:00==>02:40:00,653376,3,3,101,19,2,0.10526315789473684,6,864,81,36,36
1,17,02:40:00==>02:50:00,653376,3,3,101,10,0,0,3,838,104,28,27
1,18,02:50:00==>03:00:00,653376,3,3,101,15,0,0,4,845,85,37,28
1,19,03:00:00==>03:10:00,653376,3,3,101,13,0,0,5,795,105,31,40
1,20,03:10:00==>03:20:00,653376,3,3,101,12,1,0.08333333333333333,6,824,107,37,44
1,21,03:20:00==>03:30:00,653376,3,3,101,9,2,0.2222222222222222,2,791,122,42,31
1,22,03:30:00==>03:40:00,653376,3,3,101,7,2,0.2857142857142857,2,690,103,35,27
1,23,03:40:00==>03:50:00,653376,3,3,103,17,3,0.17647058823529413,1,659,111,33,30
1,24,03:50:00==>04:00:00,653376,3,3,103,6,2,0.3333333333333333,1,746,104,34,46
1,25,04:00:00==>04:10:00,653376,3,3,103,4,0,0,3,621,112,49,44
