time,weather,pm25,averageOf,temperature
1,4,151,2,10
2,4,151,2,10
3,4,151,2,10
4,4,151,2,10
5,4,147,2,10
6,4,147,2,10
7,4,147,2,10
8,4,147,2,10
9,4,147,2,10
10,4,147,2,10
11,4,161,2,10
12,4,161,2,10
13,4,161,2,10
14,4,161,2,10
15,4,161,2,10
16,4,161,2,10
17,4,155,2,10
18,4,155,2,10
19,4,155,2,10
20,4,155,2,10
21,4,155,2,10
22,4,155,2,10
23,4,155,2,10
24,4,155,2,10
25,4,155,2,10
26,4,155,2,10
27,4,155,2,10
28,4,155,2,10
29,4,155,2,10
30,4,148,2,10
31,4,148,2,10
32,4,148,2,10
33,4,148,2,10
34,4,148,2,10
35,4,145,2,9.5
36,4,145,2,9
37,4,145,2,9
38,4,145,2,9
39,4,145,2,9
40,4,145,2,9
41,4,145,2,9
42,3,142,2,9
43,2,142,2,9
44,2,142,2,9
45,2,142,2,9
46,2,142,2,9
47,2,142,2,9
48,2,139,2,9
49,2,139,2,9
50,2,139,2,9
51,2,139,2,9
52,2,139,2,9
53,2,140,2,9.5
54,2,140,2,10
55,2.5,140,2,10
56,2.5,140,2,10
57,2,140,2,11
58,2,140,1,11
59,2,143,2,11
60,2,143,2,11.5
61,2,143,2,13
62,2,143,2,13
63,2,143,2,13
64,2,143,2,13.5
65,2,143,2,14
66,2,146,2,14
67,2,146,2,14
68,2,146,2,14.5
69,2,146,2,15
70,2,146,2,15
71,2,159,2,16
72,2,159,2,16
73,2,159,2,16
74,2,159,2,16.5
75,2,159,2,17
76,2,159,2,17
77,2,167,2,17
78,2,167,2,17
79,2,167,2,17
80,2,167,2,17
81,2,167,2,17
82,2,167,2,18
83,2,167,2,18
84,2,167,2,18
85,2,167,2,18
86,2,167,2,18.5
87,2,167,2,19
88,2,152,2,19
89,2,130,2,19
90,2,130,2,19
91,2,130,2,19
92,2,130,2,19
93,2,130,2,19
94,2,130,2,19
95,2,132,2,19
96,2,132,2,19
97,2,132,2,19
98,2,132,2,19
99,2,132,2,19
100,2,132,2,19
101,2,134,2,18
102,2,134,2,18
103,2,134,2,18
104,2,134,1,17
105,2,134,2,17
106,2,134,2,17
107,2,139,1,17
108,2,139,2,16
109,2,139,2,16
110,2,139,2,16
111,2,139,2,16
112,2,139,2,15
113,2,139,2,15
114,2,153,2,15
115,2,153,2,15
116,2,153,2,15
117,2,153,2,15
118,2,153,2,15
119,2,172,2,15
120,2,172,2,15
121,2,172,2,15
122,2,172,2,15
123,2,172,2,15
124,2,172,2,15
125,2,188,2,15
126,2,188,2,15
127,2.5,188,2,15
128,2.5,188,2,15
129,2,188,2,15
130,2,188,2,15
131,2,193,2,15
132,2,193,2,14.5
133,2,193,2,14
134,2,193,2,14
135,2,193,2,14
136,2,193,2,14
137,2,192,2,14
138,2,192,2,14
139,2,192,2,14
140,2,192,2,14
141,2,192,2,14
142,2,192,2,14
143,2,187,2,13.5
144,2,187,2,13
