time,weather,pm25,averageOf,temperature
1,4,93,2,8
2,4,93,2,8
3,4,93,2,8
4,4,92,2,8
5,4,92,2,8
6,4,92,2,8
7,4,92,2,8
8,4,92,2,8
9,4,92,2,7.5
10,4,92,2,7
11,4,90,2,7
12,4,90,2,7
13,4,90,2,7
14,4,90,2,7
15,4,90,2,7
16,4,90,2,7
17,4,92,2,7
18,4,92,2,7
19,4,92,2,7
20,4,92,2,7
21,4,92,2,7
22,4,92,2,7
23,4,99,2,7
24,4,99,2,7
25,4,99,2,7
26,4,99,2,7
27,4,99,2,7
28,4,99,2,7
29,4,99,2,7
30,4,102,2,7
31,4,102,2,7
32,4,102,2,7
33,4,102,2,7
34,4,102,2,7
35,4,107,2,7
36,4,107,2,7
37,4,107,2,7
38,4,107,2,7
39,4,107,2,7
40,4,107,2,7
41,4,107,2,7
42,4,107,2,7
43,4,107,2,7
44,4,107,2,7
45,4,107,2,7
46,4,107,2,7
47,4,105,2,7
48,4,105,2,7
49,4,105,2,7
50,3,105,2,7
51,2,105,2,7
52,2,105,2,7
53,2,102,2,7
54,2,102,2,7
55,3,102,2,7
56,2.5,102,2,7
57,2,102,2,7
58,2,102,2,7
59,2,101,2,7
60,2.5,101,2,7
61,3,101,2,7
62,3,101,2,8
63,3,101,2,8
64,3,101,2,8
65,3,98,2,8
66,3,98,2,8
67,3,98,2,8
68,3,98,2,8
69,3,98,2,8
70,3,98,2,8.5
71,3,98,2,8.5
72,3,98,2,8
73,3,98,2,8.5
74,3,98,2,9
75,3,98,2,9
76,3,103,2,8
77,3,106,1,8
78,3,106,1,8
79,3,106,2,8
80,3,106,2,8
81,3,106,2,8
82,3,106,2,8
83,3,113,2,8
84,3,113,2,8
85,3,113,2,8
86,3,113,2,8
87,3,113,2,8
88,3,113,2,8
89,3,120,2,8
90,3,120,2,8
91,3,120,2,8
92,3,120,2,8
93,3,120,2,8
94,3,120,2,8
95,3,120,2,8
96,3,120,2,8
97,3,120,2,8
98,3,120,2,8
99,3,120,2,8
100,3,120,2,8
101,3,120,2,9
102,3,120,2,9
103,3,120,2,9
104,3,120,2,9
105,3,120,2,9
106,3,120,2,8
107,3,124,2,8
108,3,124,2,8
109,3,124,2,8
110,3,124,2,8
111,3,124,2,8
112,3,124,2,8
113,3,122,2,8
114,2.5,122,2,8
115,2,122,2,8
116,2,122,2,8
117,2,122,2,8
118,2,122,2,8
119,2,122,2,8
120,2,122,2,7.5
121,2,122,2,7
122,2,122,2,7
123,2,122,2,7
124,2,138,2,7
125,2,138,2,7
126,2,138,2,7
127,2,138,2,7
128,2,138,2,7
129,2,138,2,7
130,2,146,2,7
131,2,146,2,7
132,3,146,2,7
133,4,146,1,7
134,4,146,2,7
135,4,146,2,7
136,4,152,2,7
137,4,160,2,7
138,4,160,2,7
139,4,160,2,6
140,4,160,2,6
141,4,160,2,6
142,4,160,2,6
143,4,160,2,6
144,4,160,1,6
