time,weather,temperature,pm25
1,4,7,105
1,4,7,105
2,4,7,105
2,4,7,105
3,4,7,105
3,4,7,105
4,4,7,105
4,4,7,105
5,4,7,112
5,4,7,112
6,4,7,112
6,4,7,112
7,4,7,112
7,4,7,112
8,4,7,112
8,4,7,112
9,4,7,112
9,4,7,112
10,4,7,112
11,4,7,118
11,4,7,118
12,4,7,118
12,4,7,118
13,4,7,118
13,4,7,118
14,4,7,118
14,4,7,118
15,4,7,118
15,4,6,118
16,4,6,118
16,4,6,118
17,4,6,115
17,4,6,115
18,4,6,115
18,4,6,115
19,4,6,115
19,4,6,115
20,4,6,115
20,4,6,115
21,4,6,115
21,4,6,115
22,4,6,115
22,4,6,115
23,4,6,117
23,4,6,117
24,4,6,117
24,4,6,117
25,4,6,117
26,4,6,117
26,4,6,117
27,4,6,117
27,4,6,117
28,4,6,117
28,4,6,117
29,4,6,117
30,4,6,110
30,4,6,110
31,4,6,110
31,4,6,110
32,4,6,110
32,4,6,110
33,4,6,110
33,4,6,110
34,4,6,110
34,4,6,110
35,4,6,110
35,4,6,110
36,4,6,102
36,4,6,102
37,4,6,102
37,4,6,102
38,4,6,102
38,4,6,102
39,4,6,102
39,4,6,102
40,4,6,102
40,4,6,102
41,4,6,102
41,4,6,102
42,4,6,104
42,4,6,104
43,8,6,104
43,8,6,104
44,8,6,104
45,8,6,104
46,8,6,104
47,8,6,97
48,8,6,97
50,8,6,97
51,4,6,97
52,4,6,97
53,4,6,93
54,4,6,93
55,4,6,93
56,4,6,93
57,4,6,93
58,4,6,93
59,4,6,75
60,4,6,75
62,4,6,75
63,4,6,75
65,4,6,75
66,4,6,55
67,4,6,55
68,4,6,55
69,4,6,55
70,4,6,55
71,4,6,58
72,4,6,58
74,4,6,58
75,4,6,58
76,4,6,58
77,4,6,53
77,4,6,53
78,4,6,53
78,4,6,53
79,4,6,53
79,4,6,53
80,4,6,53
81,4,6,53
81,4,6,53
82,4,6,53
82,4,6,53
83,4,6,51
83,4,6,51
84,4,6,51
84,4,6,51
85,4,6,51
85,4,6,51
86,4,6,51
86,4,6,51
87,4,6,51
87,4,6,51
88,4,6,51
88,4,6,51
89,4,6,50
90,4,6,50
90,4,6,50
91,4,6,50
91,4,6,50
92,4,6,50
92,4,6,50
93,4,6,50
94,4,6,50
94,4,6,50
95,4,6,48
96,4,6,48
96,4,6,48
97,4,6,48
97,4,6,48
99,4,6,48
100,4,6,48
100,4,6,48
101,4,6,52
102,4,6,52
103,4,6,52
104,4,6,52
105,4,6,52
107,4,6,67
108,4,6,67
109,4,5,67
110,4,5,67
111,4,5,67
112,4,5,67
113,4,5,85
114,4,5,85
115,4,5,85
116,4,5,85
117,4,5,85
118,4,5,85
120,4,5,106
122,4,4,106
123,2,4,106
124,2,4,106
125,2,4,102
126,2,4,102
127,2,3,102
128,2,3,102
129,2,3,102
130,2,3,102
131,2,3,96
132,2,3,96
133,3,3,96
134,3,3,96
135,3,3,96
136,3,4,96
136,3,4,96
137,3,4,96
137,3,4,96
138,3,4,96
138,3,4,96
139,3,3,96
139,3,3,96
140,3,3,96
140,3,3,96
141,3,3,96
141,3,3,96
142,3,3,91
142,3,3,91
143,3,3,88
143,3,3,88
144,3,3,88
144,3,3,88
