area,time,timeSpan,poiCount,weather,temperature,pm25,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4
1,1,00:00:00==>00:10:00,653376,4,6,160,77,5,0.06493506493506493,25,,,,
1,2,00:10:00==>00:20:00,653376,4,6,160,51,1,0.0196078431372549,15,1241,213,72,55
1,3,00:20:00==>00:30:00,653376,4,6,160,54,1,0.018518518518518517,14,1171,233,78,45
1,4,00:30:00==>00:40:00,653376,,,,51,6,0.11764705882352941,24,1155,234,54,47
1,5,00:40:00==>00:50:00,653376,,,,46,6,0.13043478260869565,13,1194,210,58,52
1,6,00:50:00==>01:00:00,653376,2,5,162,52,2,0.038461538461538464,9,1108,235,72,66
1,7,01:00:00==>01:10:00,653376,2,5,162,38,2,0.05263157894736842,10,1165,208,76,37
1,8,01:10:00==>01:20:00,653376,2,5,162,42,2,0.047619047619047616,12,1107,195,63,46
1,9,01:20:00==>01:30:00,653376,2,5,162,32,1,0.03125,3,1051,156,59,34
1,10,01:30:00==>01:40:00,653376,2,4,162,39,0,0,3,1109,152,54,49
1,11,01:40:00==>01:50:00,653376,2,4,155,30,0,0,6,1069,165,52,60
1,12,01:50:00==>02:00:00,653376,2,4,155,26,3,0.11538461538461539,6,1051,178,54,55
1,13,02:00:00==>02:10:00,653376,2,4,155,38,4,0.10526315789473684,7,1011,142,45,50
1,14,02:10:00==>02:20:00,653376,2,4,155,23,1,0.043478260869565216,6,1000,159,53,41
1,15,02:20:00==>02:30:00,653376,2,4,155,26,3,0.11538461538461539,7,1001,131,30,45
1,16,02:30:00==>02:40:00,653376,2,4,155,16,0,0,4,944,127,43,26
1,17,02:40:00==>02:50:00,653376,2,4,143,14,1,0.07142857142857142,5,887,130,34,56
1,18,02:50:00==>03:00:00,653376,2,4,143,26,1,0.038461538461538464,4,811,149,33,35
1,19,03:00:00==>03:10:00,653376,2,4,143,17,0,0,2,812,138,45,20
1,20,03:10:00==>03:20:00,653376,2,4,143,18,2,0.1111111111111111,4,817,151,55,32
1,21,03:20:00==>03:30:00,653376,2,3,143,8,0,0,1,825,121,54,30
1,22,03:30:00==>03:40:00,653376,2,3,143,12,2,0.16666666666666666,0,826,104,29,37
1,23,03:40:00==>03:50:00,653376,2,3,120,6,0,0,2,673,86,36,36
1,24,03:50:00==>04:00:00,653376,3,3,120,7,1,0.14285714285714285,1,790,100,37,33
1,25,04:00:00==>04:10:00,653376,3,3,120,6,0,0,2,674,83,21,43
1,26,04:10:00==>04:20:00,653376,3,3,120,4,0,0,4,633,114,34,41
1,27,04:20:00==>04:30:00,653376,3,3,120,9,1,0.1111111111111111,3,573,111,31,28
1,28,04:30:00==>04:40:00,653376,3,3,120,3,0,0,4,592,87,44,37
1,29,04:40:00==>04:50:00,653376,3,3,120,9,0,0,2,681,80,44,30
1,30,04:50:00==>05:00:00,653376,3,3,100,5,1,0.2,1,644,116,26,18
1,31,05:00:00==>05:10:00,653376,3,3,100,3,0,0,2,698,104,41,40
1,32,05:10:00==>05:20:00,653376,3,3,100,8,0,0,2,498,90,26,50
1,33,05:20:00==>05:30:00,653376,3,3,100,9,3,0.3333333333333333,2,713,105,46,36
1,34,05:30:00==>05:40:00,653376,3,3,100,14,4,0.2857142857142857,4,679,126,37,12
1,35,05:40:00==>05:50:00,653376,3,3,81,5,1,0.2,1,710,78,42,38
1,36,05:50:00==>06:00:00,653376,3,3,81,14,0,0,0,690,111,38,34
1,37,06:00:00==>06:10:00,653376,3,3,81,24,12,0.5,2,721,134,35,45
1,38,06:10:00==>06:20:00,653376,3,3,81,27,4,0.14814814814814814,5,825,157,37,37
1,39,06:20:00==>06:30:00,653376,3,3,81,29,7,0.2413793103448276,1,925,132,32,26
1,40,06:30:00==>06:40:00,653376,3,4,81,32,0,0,7,948,128,44,42
1,41,06:40:00==>06:50:00,653376,3,4,72,27,1,0.037037037037037035,11,1020,173,46,52
1,42,06:50:00==>07:00:00,653376,2,4,72,41,0,0,12,1182,205,64,65
1,43,07:00:00==>07:10:00,653376,2,4,72,75,1,0.013333333333333334,23,1251,270,68,62
1,44,07:10:00==>07:20:00,653376,2,4,72,110,0,0,43,1284,273,77,91
1,45,07:20:00==>07:30:00,653376,2,4,72,142,2,0.014084507042253521,38,1327,318,84,78
1,46,07:30:00==>07:40:00,653376,2,4,72,217,5,0.02304147465437788,88,1337,360,116,92
1,47,07:40:00==>07:50:00,653376,2,4,81,213,3,0.014084507042253521,84,1418,416,121,71
1,48,07:50:00==>08:00:00,653376,2,4,81,241,3,0.012448132780082987,91,1504,444,102,89
1,49,08:00:00==>08:10:00,653376,2,4,81,320,10,0.03125,105,1610,429,111,90
1,50,08:10:00==>08:20:00,653376,2,4,81,373,10,0.02680965147453083,105,1606,411,105,63
1,51,08:20:00==>08:30:00,653376,2,4,81,307,8,0.026058631921824105,95,1656,415,119,65
1,52,08:30:00==>08:40:00,653376,2,4,81,347,10,0.02881844380403458,124,1665,429,68,63
1,53,08:40:00==>08:50:00,653376,2,4,93,385,13,0.033766233766233764,138,1694,359,80,56
1,54,08:50:00==>09:00:00,653376,2,4,93,255,4,0.01568627450980392,117,1661,347,94,77
1,55,09:00:00==>09:10:00,653376,2,4,93,213,5,0.023474178403755867,98,1646,369,99,67
1,56,09:10:00==>09:20:00,653376,2,4,93,217,4,0.018433179723502304,78,1645,374,99,90
1,57,09:20:00==>09:30:00,653376,2,4,93,173,8,0.046242774566473986,80,1618,351,159,89
1,58,09:30:00==>09:40:00,653376,2,4,93,169,5,0.029585798816568046,89,1628,346,111,66
1,59,09:40:00==>09:50:00,653376,2,4,98,171,5,0.029239766081871343,88,1565,395,100,113
1,60,09:50:00==>10:00:00,653376,3,5,98,145,5,0.034482758620689655,68,1565,341,110,105
1,61,10:00:00==>10:10:00,653376,3,5,98,217,4,0.018433179723502304,53,1544,342,80,114
1,62,10:10:00==>10:20:00,653376,3,5,98,141,3,0.02127659574468085,52,1550,371,107,89
1,63,10:20:00==>10:30:00,653376,3,5,98,152,4,0.02631578947368421,49,1538,317,90,94
1,64,10:30:00==>10:40:00,653376,3,5,98,155,7,0.04516129032258064,54,1508,352,105,82
1,65,10:40:00==>10:50:00,653376,3,5,97,135,0,0,53,1443,310,93,66
1,66,10:50:00==>11:00:00,653376,3,5,97,117,3,0.02564102564102564,59,1470,341,110,72
1,67,11:00:00==>11:10:00,653376,3,5,97,158,5,0.03164556962025317,62,1564,289,96,105
1,68,11:10:00==>11:20:00,653376,3,5,97,177,9,0.05084745762711865,64,1498,296,99,105
1,69,11:20:00==>11:30:00,653376,3,5,97,177,14,0.07909604519774012,53,1469,311,102,98
1,70,11:30:00==>11:40:00,653376,3,5,97,181,5,0.027624309392265192,70,1530,289,72,82
1,71,11:40:00==>11:50:00,653376,3,6,102,185,2,0.010810810810810811,77,1535,313,100,73
1,72,11:50:00==>12:00:00,653376,3,6,102,182,14,0.07692307692307693,58,1533,316,123,90
1,73,12:00:00==>12:10:00,653376,3,6,102,186,10,0.053763440860215055,83,1435,380,115,90
1,74,12:10:00==>12:20:00,653376,3,6,102,166,7,0.04216867469879518,58,1487,323,84,74
1,75,12:20:00==>12:30:00,653376,3,6,102,143,7,0.04895104895104895,59,1487,318,93,88
1,76,12:30:00==>12:40:00,653376,3,6,102,165,7,0.04242424242424243,54,1455,320,129,60
1,77,12:40:00==>12:50:00,653376,3,6,101,184,8,0.043478260869565216,59,1516,324,95,69
1,78,12:50:00==>13:00:00,653376,3,6,101,181,4,0.022099447513812154,59,1500,318,126,102
1,79,13:00:00==>13:10:00,653376,3,6,101,195,2,0.010256410256410256,96,1489,336,105,83
1,80,13:10:00==>13:20:00,653376,3,6,101,188,6,0.031914893617021274,76,1494,358,94,95
1,81,13:20:00==>13:30:00,653376,3,6,101,170,7,0.041176470588235294,69,1552,322,101,98
1,82,13:30:00==>13:40:00,653376,3,6,101,161,3,0.018633540372670808,60,1539,342,87,79
1,83,13:40:00==>13:50:00,653376,3,6,104,143,3,0.02097902097902098,72,1499,330,71,91
1,84,13:50:00==>14:00:00,653376,3,6,104,176,3,0.017045454545454544,57,1513,321,122,77
1,85,14:00:00==>14:10:00,653376,3,6,104,169,6,0.03550295857988166,70,1488,349,104,76
1,86,14:10:00==>14:20:00,653376,3,6,104,175,7,0.04,45,1519,325,100,84
1,87,14:20:00==>14:30:00,653376,3,6,104,157,3,0.01910828025477707,55,1466,309,122,82
1,88,14:30:00==>14:40:00,653376,3,6,104,176,5,0.028409090909090908,65,1545,323,92,72
1,89,14:40:00==>14:50:00,653376,3,6,110,184,5,0.02717391304347826,62,1490,335,95,109
1,90,14:50:00==>15:00:00,653376,3,6,110,221,4,0.01809954751131222,70,1500,325,95,87
1,91,15:00:00==>15:10:00,653376,3,6,110,216,4,0.018518518518518517,78,1471,354,96,101
1,92,15:10:00==>15:20:00,653376,3,6,110,191,8,0.041884816753926704,65,1499,372,98,61
1,93,15:20:00==>15:30:00,653376,3,6,110,183,2,0.01092896174863388,62,1427,364,111,83
1,94,15:30:00==>15:40:00,653376,3,6,110,194,3,0.015463917525773196,78,1462,348,102,90
1,95,15:40:00==>15:50:00,653376,3,6,114,188,7,0.03723404255319149,74,1457,396,128,90
1,96,15:50:00==>16:00:00,653376,3,6,114,205,8,0.03902439024390244,85,1543,422,104,119
1,97,16:00:00==>16:10:00,653376,3,6,114,184,7,0.03804347826086957,89,1433,431,120,92
1,98,16:10:00==>16:20:00,653376,3,6,114,215,7,0.03255813953488372,65,1435,383,101,95
1,99,16:20:00==>16:30:00,653376,3,6,114,239,9,0.03765690376569038,87,1494,387,137,97
1,100,16:30:00==>16:40:00,653376,3,6,114,205,11,0.05365853658536585,80,1438,479,135,92
1,101,16:40:00==>16:50:00,653376,3,6,114,217,5,0.02304147465437788,94,1527,473,115,127
1,102,16:50:00==>17:00:00,653376,3,6,114,279,16,0.05734767025089606,90,1455,448,166,113
1,103,17:00:00==>17:10:00,653376,3,6,114,303,1,0.0033003300330033004,91,1478,440,129,93
