time,weather,pm25,averageOf,temperature
1,1,177,2,3.5
2,1,177,2,3
3,1,177,2,3
4,1,177,2,3
5,1,177,2,3
6,1,177,2,3
7,1,177,2,3
8,1,177,2,3
9,1,177,2,3
10,1,177,2,3
11,1,206,2,3
12,1,206,2,3
13,1,206,2,3
14,1,206,2,3
15,1,206,2,3
16,1,206,2,3
17,1,206,2,3
18,1,205,2,3
19,1,205,2,3
20,1,205,2,3
21,1,205,2,3
22,1,205,2,3
23,1,195,2,3
24,1,195,2,3
25,1,195,2,3
26,1,195,2,3
27,1,195,2,3
28,1,195,2,3
29,1,195,2,3
30,1,184,2,3
31,1,184,2,3
32,1,184,2,3
33,1,184,2,2.5
34,1,184,2,2
35,1,184,2,2
36,1,184,2,2
37,1,184,2,2
38,1,184,2,2
39,1,184,2,2
40,1,184,2,2
41,1,181,2,2
42,1,181,2,2
43,1,181,2,2
44,1,181,2,2
45,1,181,2,2
46,4.5,181,2,2
47,8,175,2,2
48,8,175,2,2
49,8,175,2,2
50,8,175,2,2
51,8,175,2,2.5
52,8,175,2,3
53,8,178,2,3
54,8,178,2,3
55,8,178,2,3
56,8,178,2,3
57,8,178,2,3
58,5,178,2,3.5
59,2,186,2,4
60,2,186,2,4
61,2,186,2,4.5
62,2,186,2,5
63,2,186,2,5
64,2,186,2,5
65,2,205,2,5
66,2,205,2,5
67,2,205,2,6
68,2,205,2,6
69,2,205,2,7
70,2,205,2,7
71,2,205,2,7
72,2,229,2,7.5
73,2,229,2,8
74,2,229,2,8
75,2,229,2,8
76,2,229,2,9
77,2,232,2,9
78,2,232,2,9
79,2,232,2,10
80,2,232,2,10
81,2,232,2,10
82,2,232,2,10.5
83,2,214,2,11
84,2,214,2,11
85,2,214,2,11
86,2,214,2,11
87,2,214,2,11.5
88,2,214,2,12
89,2,189,2,12
90,2,189,2,12
91,5.5,189,2,12
92,5.5,189,2,12
93,2,189,2,12
94,2,189,2,12
95,2,168,2,12.5
96,2,168,2,12.5
97,2,168,2,12
98,2,168,2,12
99,2,168,2,12
100,2,168,2,12
101,2,168,1,12
102,2,154,1,11
103,2,154,1,11
104,2,154,2,11
105,2,154,2,10
106,2,154,2,10
107,2,146,2,10
108,2,146,2,10
109,2,146,2,9.5
110,2,146,2,10
111,2,146,2,10
112,2,146,2,9
113,2,153,2,9
114,2,153,2,9
115,2,153,2,9
116,2,153,2,9
117,2,153,2,9
118,2,153,2,9
119,2,141,2,9
120,2,141,2,8
121,2,141,1,9
122,NaN,NaN,0,NaN
123,2,141,1,8
124,NaN,NaN,0,NaN
125,2,141,2,8
126,2,133,2,8
127,2.5,133,2,8
128,2.5,133,2,8
129,2,133,2,8
130,2,133,2,8
131,2,128,2,8
132,2,128,2,8
133,2,128,2,8
134,2,128,2,8
135,2,128,2,8
136,2,128,2,8
137,2,126,2,8
138,2,126,2,8
139,2,126,2,8
140,2,126,2,8
141,2,126,2,8
142,2,126,2,8
143,2,131,2,8
144,2,131,2,8
