time,weather,pm25,averageOf,temperature
1,4,160,1,6
2,4,160,2,6
3,4,160,1,6
4,NaN,NaN,0,NaN
5,NaN,NaN,0,NaN
6,2,162,2,5
7,2,162,2,5
8,2,162,2,5
9,2,162,2,5
10,2,162,2,4.5
11,2,155,2,4
12,2,155,2,4
13,2,155,2,4
14,2,155,2,4
15,2,155,2,4
16,2,155,2,4
17,2,143,2,4
18,2,143,2,4
19,2,143,2,4
20,2,143,2,4
21,2,143,2,3.5
22,2,143,2,3
23,2,120,2,3
24,2.5,120,2,3
25,3,120,2,3
26,3,120,2,3
27,3,120,2,3
28,3,120,2,3
29,3,120,2,3
30,3,100,2,3
31,3,100,2,3
32,3,100,2,3
33,3,100,2,3
34,3,100,2,3
35,3,81,2,3
36,3,81,2,3
37,3,81,2,3
38,3,81,2,3
39,3,81,2,3
40,3,81,2,3.5
41,3,72,2,4
42,2.5,72,2,4
43,2,72,2,4
44,2,72,2,4
45,2,72,2,4
46,2,72,2,4
47,2,81,2,4
48,2,81,2,4
49,2,81,2,4
50,2,81,2,4
51,2,81,2,4
52,2,81,2,4
53,2,93,2,4
54,2,93,2,4
55,2,93,2,4
56,2,93,2,4
57,2,93,2,4
58,2,93,2,4
59,2,98,2,4
60,2.5,98,2,4.5
61,3,98,2,5
62,3,98,2,5
63,3,98,2,5
64,3,98,2,5
65,3,97,2,5
66,3,97,2,5
67,3,97,2,5
68,3,97,2,5
69,3,97,2,5
70,3,97,2,5
71,3,102,2,6
72,3,102,2,6
73,3,102,2,6
74,3,102,2,6
75,3,102,2,6
76,3,102,2,6
77,3,101,2,6
78,3,101,2,6
79,3,101,1,6
80,3,101,2,6
81,3,101,2,6
82,3,101,2,6
83,3,104,2,6
84,3,104,2,6
85,3,104,2,6
86,3,104,2,6
87,3,104,2,6
88,3,104,2,6
89,3,110,2,6
90,3,110,2,6
91,3,110,2,6
92,3,110,2,6
93,3,110,2,6
94,3,110,2,6
95,3,114,1,6
96,3,114,2,6
97,3,114,2,6
98,3,114,2,6
99,3,114,2,6
100,3,114,2,6
101,3,114,2,6
102,3,114,2,6
103,3,114,2,6
104,3,114,2,6
105,3,114,2,6
106,3,116,2,6
107,3,116,2,6
108,3,116,2,5
109,3,116,2,5
110,3,116,2,5
111,3,116,2,5
112,3,115,2,5
113,3,111,2,5
114,2.5,111,2,5
115,2,111,2,5
116,2,111,2,5
117,2,111,2,5
118,2,111,2,5
119,2,113,2,5
120,2,113,2,5
121,2,113,2,5
122,2,113,1,5
123,2,113,2,5
124,2,113,2,5
125,2,120,2,4
126,2,120,1,4
127,2,120,2,4
128,2,120,2,4
129,2,120,2,4
130,2,120,2,4
131,2,120,2,4
132,2,120,2,4
133,2,120,2,4
134,2,120,2,4
135,2,120,2,4
136,2,120,1,4
137,2,127,2,4
138,2,127,2,4
139,2,127,2,4
140,2,127,2,4
141,2,127,2,4
142,2,127,2,4
143,2,127,2,4
144,2,127,2,4
