time,weather,pm25,averageOf,temperature
1,2,195,2,3
2,2,195,2,3
3,2,195,2,3
4,2,198,2,3
5,2,203,2,2
6,1,203,2,2
7,1,203,2,2
8,1,203,2,2
9,1,203,2,2
10,1,203,2,2
11,1,199,2,2
12,1,199,2,2
13,1,199,2,2
14,1,199,2,2
15,1,199,2,2
16,1,199,2,2
17,1,199,2,1
18,1,186,2,1
19,1,186,2,1
20,1,186,2,1
21,1,186,2,1
22,1,186,2,1
23,1,173,2,1
24,1,173,2,1
25,1,173,2,1
26,1,173,2,1
27,1,173,2,1
28,1,173,2,1
29,1,173,2,1
30,1,159,2,1
31,1,159,2,1
32,1,159,2,0.5
33,1,159,2,0
34,1,159,2,0
35,1,150,2,0
36,1,150,2,0
37,1,150,2,0
38,1,150,2,0
39,1,150,2,0
40,1,150,2,0
41,1,148,2,0
42,1,148,1,0
43,2,148,1,0
44,2,148,2,0
45,2,148,1,0
46,2,148,1,0
47,2,151,1,0
48,2,151,1,0
49,NaN,NaN,0,NaN
50,2,151,1,0
51,NaN,NaN,0,NaN
52,2,151,1,1
53,NaN,NaN,0,NaN
54,2,160,1,1
55,NaN,NaN,0,NaN
56,2,160,1,2
57,NaN,NaN,0,NaN
58,2,160,1,2
59,NaN,NaN,0,NaN
60,2,160,1,3
61,2,160,1,3
62,NaN,NaN,0,NaN
63,2,160,1,3
64,NaN,NaN,0,NaN
65,2,160,1,3
66,NaN,NaN,0,NaN
67,2,160,1,3
68,2,160,1,3
69,NaN,NaN,0,NaN
70,2,160,1,4
71,2,160,1,4
72,2,151,1,4
73,2,151,1,4
74,2,151,1,4
75,2,151,1,4
76,2,151,1,4
77,2,124,1,4
78,NaN,NaN,0,NaN
79,2,124,2,4.5
80,2,124,1,5
81,2,124,1,5
82,2,124,1,5
83,2,114,1,5
84,2,114,1,5
85,2,114,1,5
86,2,114,1,5
87,NaN,NaN,0,NaN
88,2,114,1,5
89,2,103,1,5
90,2,103,1,5
91,2,103,1,5
92,2,103,1,5
93,NaN,NaN,0,NaN
94,2,103,1,5
95,2,96,1,5
96,2,96,1,5
97,2,96,1,5
98,NaN,NaN,0,NaN
99,2,96,1,4
100,2,96,1,4
101,2,96,1,4
102,NaN,NaN,0,NaN
103,2,96,1,4
104,2,96,1,4
105,NaN,NaN,0,NaN
106,2,91,1,3
107,2,91,1,3
108,NaN,NaN,0,NaN
109,2,91,1,3
110,NaN,NaN,0,NaN
111,2,91,1,3
112,NaN,NaN,0,NaN
113,2,98,1,3
114,NaN,NaN,0,NaN
115,NaN,NaN,0,NaN
116,NaN,NaN,0,NaN
117,2,98,1,3
118,NaN,NaN,0,NaN
119,NaN,NaN,0,NaN
120,2,98,1,3
121,NaN,NaN,0,NaN
122,NaN,NaN,0,NaN
123,1,98,1,3
124,NaN,NaN,0,NaN
125,NaN,NaN,0,NaN
126,NaN,NaN,0,NaN
127,NaN,NaN,0,NaN
128,NaN,NaN,0,NaN
129,NaN,NaN,0,NaN
130,NaN,NaN,0,NaN
131,1,104,1,2
132,NaN,NaN,0,NaN
133,2,112,1,1
134,NaN,NaN,0,NaN
135,2,112,1,1
136,2,112,1,2
137,2,112,1,1
138,2,112,1,1
139,2,112,1,1
140,2,112,1,1
141,2,112,2,1
142,2,102,2,1
143,2,102,2,1
144,2,102,1,1
