time,begin,end,area,total,gap,gapRate,total_dest
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),1,57,4,0.07017543859649122,24
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),2,8,0,0,1
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),3,0,0,NaN,0
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),4,15,2,0.13333333333333333,14
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),5,0,0,NaN,2
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),6,2,1,0.5,3
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),7,77,1,0.012987012987012988,30
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),8,66,5,0.07575757575757576,65
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),9,15,1,0.06666666666666667,5
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),10,0,0,NaN,1
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),11,15,0,0,6
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),12,67,2,0.029850746268656716,11
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),13,5,1,0.2,5
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),14,11,1,0.09090909090909091,21
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),15,0,0,NaN,0
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),16,5,0,0,5
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),17,0,0,NaN,0
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),18,4,2,0.5,0
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),19,24,2,0.08333333333333333,17
1,Thu Jan 14 2016 00:00:00 GMT+0800 (CST),Thu Jan 14 2016 00:10:00 GMT+0800 (CST),20,34,1,0.029411764705882353,13
