time,weather,pm25,averageOf,temperature
1,NaN,NaN,0,NaN
2,NaN,NaN,0,NaN
3,NaN,NaN,0,NaN
4,3,174,1,5
5,3,176,2,5
6,3,176,2,5
7,3,176,2,5
8,3,176,2,5
9,3,176,2,5
10,3,176,1,5
11,3,188,2,5
12,3,188,2,5
13,3,188,2,5
14,3,188,2,5
15,3,188,2,5
16,3,188,2,5
17,3,188,2,5
18,3,188,2,5
19,3,187,2,5
20,3,187,2,5
21,3,187,2,5
22,3,187,2,5
23,3,187,1,5
24,3,187,2,5
25,3,179,2,5
26,3,179,2,5
27,3,179,2,5
28,3,179,2,5
29,3,179,2,4
30,3,168,2,4
31,3,168,2,4
32,3,168,2,4
33,3,168,2,4
34,3,168,2,4
35,3,161,2,4
36,3,161,2,4
37,3,161,2,4
38,3,161,2,4
39,3,161,2,4
40,3,161,2,4
41,3,154,2,4
42,2.5,154,2,4
43,2,154,2,4
44,2,154,2,4
45,2,154,2,4
46,2,154,1,4
47,NaN,NaN,0,NaN
48,2,154,1,4
49,2,151,1,4
50,NaN,NaN,0,NaN
51,NaN,NaN,0,NaN
52,2,151,1,4
53,NaN,NaN,0,NaN
54,NaN,NaN,0,NaN
55,2,149,1,5
56,NaN,NaN,0,NaN
57,NaN,NaN,0,NaN
58,NaN,NaN,0,NaN
59,2,146,1,6
60,NaN,NaN,0,NaN
61,NaN,NaN,0,NaN
62,2,146,1,7
63,NaN,NaN,0,NaN
64,NaN,NaN,0,NaN
65,2,141,1,8
66,2,141,1,8
67,NaN,NaN,0,NaN
68,2,141,1,9
69,NaN,NaN,0,NaN
70,2,141,1,9
71,NaN,NaN,0,NaN
72,2,141,1,9
73,2,141,1,9
74,2,141,2,9
75,2,141,1,9
76,2,143,1,9
77,2,123,2,9
78,2,123,2,9
79,2,123,1,9
80,2,123,1,10
81,2,123,2,10
82,2,123,2,10
83,2,97,2,10
84,2,97,2,10
85,2,97,2,10.5
86,2,97,2,11
87,2,97,2,11
88,2,97,1,11
89,2,84,1,11
90,2,84,1,11
91,2,84,1,11
92,NaN,NaN,0,NaN
93,2,84,1,11
94,2,84,1,11
95,NaN,NaN,0,NaN
96,2,83,1,10
97,2,83,1,11
98,2,83,2,10.5
99,2,83,1,10
100,NaN,NaN,0,NaN
101,2,83,1,10
102,2,83,1,10
103,2,83,1,10
104,2,83,1,9
105,2,83,1,9
106,2,81,1,9
107,2,80,2,9
108,2,80,1,8
109,2,80,1,8
110,2,80,1,8
111,2,80,1,8
112,2,80,1,8
113,2,79,1,7
114,2,79,1,7
115,2,79,1,7
116,2,79,1,7
117,2,79,1,7
118,NaN,NaN,0,NaN
119,2,90,1,7
120,2,90,1,7
121,2,90,1,7
122,NaN,NaN,0,NaN
123,2,90,1,6
124,NaN,NaN,0,NaN
125,2,90,1,6
126,2,90,1,6
127,2,90,1,6
128,2,90,1,6
129,2,90,1,6
130,NaN,NaN,0,NaN
131,2,117,1,6
132,2,117,1,6
133,2,117,1,6
134,2,117,1,5
135,2,117,1,5
136,2,117,1,5
137,2,134,1,5
138,2,134,2,5
139,2,134,2,5
140,2,134,1,5
141,2,134,2,5
142,2,134,2,5
143,2,132,2,5
144,2,132,2,4.5
