time,weather,pm25,averageOf,temperature
1,3,94,2,3
2,3,94,2,3
3,3,94,2,3
4,3,96,2,3
5,3,99,2,3
6,3,99,2,3
7,3,99,2,3
8,3,99,2,3
9,3,99,2,3
10,3,99,2,3
11,3,101,2,3
12,3,101,2,3
13,3,101,2,3
14,3,101,2,3
15,3,101,2,3
16,3,101,2,3
17,3,101,2,3
18,3,101,2,3
19,3,101,2,3
20,3,101,2,3
21,3,101,2,3
22,3,101,2,3
23,3,103,2,3
24,3,103,2,3
25,3,103,2,3
26,3,103,2,3
27,3,103,2,3
28,3,103,2,3
29,3,103,2,3
30,3,103,2,3
31,3,104,2,3
32,3,104,2,3
33,3,104,2,3
34,3,104,2,3
35,3,104,2,3
36,3,104,2,3
37,3,99,2,3
38,3,99,1,3
39,3,99,2,3
40,3,99,2,3
41,3,87,2,3
42,2.5,87,2,3
43,2,87,2,3
44,2,87,2,3
45,2,87,2,3
46,2,87,2,3
47,2,81,2,3
48,2,81,2,3
49,2,81,2,3
50,2,81,2,3
51,2,81,2,3
52,2,81,2,3
53,2,84,2,3
54,2,84,2,3
55,2,84,2,3
56,2,84,2,3
57,2,84,2,3
58,2,84,2,3
59,2,84,2,3
60,2,84,2,3
61,2,84,2,3
62,2,84,2,3
63,2,84,2,3
64,2,84,2,3
65,2,85,2,3
66,2,85,2,3
67,2,85,1,3
68,2,85,2,3
69,2,85,2,3
70,2,85,2,3.5
71,2,88,2,4
72,2,88,2,3.5
73,2,88,2,3
74,2,88,2,3
75,2,88,2,3
76,2,88,2,4
77,2,88,2,4
78,2,88,2,4
79,2,88,2,4
80,2,88,2,4
81,2,88,2,4
82,2,88,2,4
83,2,90,2,4
84,2,90,2,4
85,2,90,2,4.5
86,2,90,2,5
87,2,90,2,5
88,2,90,2,5
89,2,90,2,5
90,2,90,2,5
91,2,90,1,5
92,2,90,2,5
93,2,90,2,5
94,2,90,2,5
95,2,93,2,5
96,2,93,2,5
97,2,93,2,5
98,2,93,2,5
99,2,93,2,5
100,2,93,2,5
101,2,91,2,5
102,2,91,2,5
103,2,91,2,4
104,2,91,2,4
105,2,91,2,4
106,2,91,1,4
107,2,93,2,4
108,2,93,2,4
109,2,93,1,4
110,2,93,2,4
111,2,93,2,4
112,2,93,2,4
113,2,95,2,4
114,2,95,2,4
115,2,95,2,4
116,2,95,2,4
117,2,95,1,4
118,2,95,2,4
119,2,101,1,4
120,2,101,2,4
121,2,101,1,4
122,2,101,1,4
123,2,101,1,4
124,2,101,2,4
125,2,103,2,4
126,2,103,2,3
127,2,103,2,3
128,2,103,2,3
129,2,103,2,3
130,2,103,2,3
131,2,106,2,3
132,2,106,2,3
133,2,106,2,3
134,2,106,2,3
135,2,106,2,3
136,2,106,2,3
137,2,106,2,3
138,2,106,2,3
139,2,106,2,3
140,2,106,2,3
141,2,106,2,3
142,2,110,2,3
143,2,110,2,3
144,2,112,2,3
