time,weather,pm25,averageOf,temperature
1,3,88,2,3
2,3,88,2,3
3,3,88,2,3
4,3,88,2,3
5,3,88,2,3
6,3,82,2,3
7,3,82,2,3
8,3,82,2,3
9,3,82,2,3
10,3,82,2,3
11,3,78,2,3
12,3,78,2,3
13,3,78,2,3
14,3,78,2,3
15,3,78,2,3
16,3,78,2,3
17,3,74,2,3
18,3,74,2,3
19,3,74,2,3
20,3,74,2,3
21,3,74,2,3
22,3,74,2,3
23,3,72,2,3
24,3,72,2,3
25,3,72,2,3
26,3,72,2,2
27,3,72,2,2
28,3,72,2,3
29,3,72,2,2.5
30,3,72,2,2
31,3,72,2,2
32,3,72,2,2
33,3,72,2,2
34,3,72,2,2.5
35,3,72,2,3
36,3,72,2,3
37,3,72,2,3
38,3,72,2,3
39,3,72,2,3
40,3,72,2,3
41,3,81,2,3
42,3,81,2,3
43,2,81,1,3
44,2,81,1,3
45,2,81,1,3
46,2,81,1,3
47,NaN,NaN,0,NaN
48,2,100,1,3
49,2,100,1,3
50,NaN,NaN,0,NaN
51,2,100,1,4
52,NaN,NaN,0,NaN
53,2,153,1,4
54,NaN,NaN,0,NaN
55,NaN,NaN,0,NaN
56,2,153,1,4
57,NaN,NaN,0,NaN
58,2,153,1,4
59,NaN,NaN,0,NaN
60,2,271,1,4
61,NaN,NaN,0,NaN
62,9,271,1,5
63,NaN,NaN,0,NaN
64,NaN,NaN,0,NaN
65,NaN,NaN,0,NaN
66,2,200,1,5
67,2,200,1,5
68,2,200,1,5
69,NaN,NaN,0,NaN
70,2,200,1,6
71,2,227,1,6
72,2,227,1,6
73,NaN,NaN,0,NaN
74,2,227,1,6
75,2,227,1,6
76,2,227,1,7
77,9,247,1,7
78,9,247,1,6
79,9,247,1,6
80,9,247,1,5
81,NaN,NaN,0,NaN
82,2,247,1,5
83,2,247,1,5
84,NaN,NaN,0,NaN
85,9,263,1,6
86,9,263,1,6
87,2,263,1,6
88,2,263,1,6
89,9,276,1,6
90,9,276,1,6
91,9,276,1,6
92,NaN,NaN,0,NaN
93,9,276,1,5
94,9,276,1,6
95,9,263,1,5
96,NaN,NaN,0,NaN
97,2,263,1,5
98,2,263,1,5
99,2,263,1,5
100,2,263,1,5
101,NaN,NaN,0,NaN
102,2,260,1,5
103,2,260,1,5
104,NaN,NaN,0,NaN
105,2,260,1,5
106,2,260,1,5
107,2,244,1,5
108,2,244,1,5
109,2,244,1,5
110,2,244,1,4
111,2,244,1,4
112,2,244,1,4
113,2,232,1,4
114,NaN,NaN,0,NaN
115,NaN,NaN,0,NaN
116,2,232,1,4
117,NaN,NaN,0,NaN
118,2,232,1,3
119,2,238,1,3
120,2,238,1,3
121,NaN,NaN,0,NaN
122,2,238,1,3
123,2,238,1,3
124,NaN,NaN,0,NaN
125,2,238,1,3
126,NaN,NaN,0,NaN
127,2,238,1,3
128,NaN,NaN,0,NaN
129,NaN,NaN,0,NaN
130,2,230,1,3
131,NaN,NaN,0,NaN
132,2,203,1,3
133,2,203,1,3
134,NaN,NaN,0,NaN
135,2,203,1,3
136,NaN,NaN,0,NaN
137,2,203,1,3
138,2,203,2,3
139,2,203,1,3
140,2,203,2,3
141,2,203,2,3
142,2,195,2,3
143,2,195,2,3
144,2,195,2,3
