time,weather,pm25,averageOf,temperature
1,4,105,2,7
2,4,105,2,7
3,4,105,2,7
4,4,105,2,7
5,4,112,2,7
6,4,112,2,7
7,4,112,2,7
8,4,112,2,7
9,4,112,2,7
10,4,112,1,7
11,4,118,2,7
12,4,118,2,7
13,4,118,2,7
14,4,118,2,7
15,4,118,2,6.5
16,4,118,2,6
17,4,115,2,6
18,4,115,2,6
19,4,115,2,6
20,4,115,2,6
21,4,115,2,6
22,4,115,2,6
23,4,117,2,6
24,4,117,2,6
25,4,117,1,6
26,4,117,2,6
27,4,117,2,6
28,4,117,2,6
29,4,117,1,6
30,4,110,2,6
31,4,110,2,6
32,4,110,2,6
33,4,110,2,6
34,4,110,2,6
35,4,110,2,6
36,4,102,2,6
37,4,102,2,6
38,4,102,2,6
39,4,102,2,6
40,4,102,2,6
41,4,102,2,6
42,4,104,2,6
43,8,104,2,6
44,8,104,1,6
45,8,104,1,6
46,8,104,1,6
47,8,97,1,6
48,8,97,1,6
49,NaN,NaN,0,NaN
50,8,97,1,6
51,4,97,1,6
52,4,97,1,6
53,4,93,1,6
54,4,93,1,6
55,4,93,1,6
56,4,93,1,6
57,4,93,1,6
58,4,93,1,6
59,4,75,1,6
60,4,75,1,6
61,NaN,NaN,0,NaN
62,4,75,1,6
63,4,75,1,6
64,NaN,NaN,0,NaN
65,4,75,1,6
66,4,55,1,6
67,4,55,1,6
68,4,55,1,6
69,4,55,1,6
70,4,55,1,6
71,4,58,1,6
72,4,58,1,6
73,NaN,NaN,0,NaN
74,4,58,1,6
75,4,58,1,6
76,4,58,1,6
77,4,53,2,6
78,4,53,2,6
79,4,53,2,6
80,4,53,1,6
81,4,53,2,6
82,4,53,2,6
83,4,51,2,6
84,4,51,2,6
85,4,51,2,6
86,4,51,2,6
87,4,51,2,6
88,4,51,2,6
89,4,50,1,6
90,4,50,2,6
91,4,50,2,6
92,4,50,2,6
93,4,50,1,6
94,4,50,2,6
95,4,48,1,6
96,4,48,2,6
97,4,48,2,6
98,NaN,NaN,0,NaN
99,4,48,1,6
100,4,48,2,6
101,4,52,1,6
102,4,52,1,6
103,4,52,1,6
104,4,52,1,6
105,4,52,1,6
106,NaN,NaN,0,NaN
107,4,67,1,6
108,4,67,1,6
109,4,67,1,5
110,4,67,1,5
111,4,67,1,5
112,4,67,1,5
113,4,85,1,5
114,4,85,1,5
115,4,85,1,5
116,4,85,1,5
117,4,85,1,5
118,4,85,1,5
119,NaN,NaN,0,NaN
120,4,106,1,5
121,NaN,NaN,0,NaN
122,4,106,1,4
123,2,106,1,4
124,2,106,1,4
125,2,102,1,4
126,2,102,1,4
127,2,102,1,3
128,2,102,1,3
129,2,102,1,3
130,2,102,1,3
131,2,96,1,3
132,2,96,1,3
133,3,96,1,3
134,3,96,1,3
135,3,96,1,3
136,3,96,2,4
137,3,96,2,4
138,3,96,2,4
139,3,96,2,3
140,3,96,2,3
141,3,96,2,3
142,3,91,2,3
143,3,88,2,3
144,3,88,2,3
