time,weather,pm25,averageOf,temperature
1,3,185,2,7
2,3,185,2,7
3,3,185,2,7
4,3,185,2,7
5,2.5,181,2,7
6,2,181,2,6
7,2,181,2,6
8,2,181,2,6
9,2,181,2,6
10,2,181,2,6
11,2,177,2,6
12,2,177,2,6
13,2,177,2,6
14,2,177,2,6
15,2,177,2,6
16,5,177,2,6
17,8,167,2,6
18,8,167,2,6
19,8,167,2,6
20,8,167,2,6
21,8,167,2,6
22,8,167,2,6
23,8,164,2,6
24,8,164,2,6
25,8,164,2,6
26,8,164,2,6
27,8,164,2,6
28,8,164,2,6
29,8,164,2,6
30,8,161,2,6
31,8,161,2,6
32,8,161,2,6
33,8,161,2,6
34,8,161,2,6
35,8,159,2,6
36,8,159,2,6
37,8,159,2,6
38,8,159,2,6
39,8,159,2,6
40,8,159,2,6
41,8,153,2,6
42,8,153,2,6
43,8,153,2,6
44,8,153,2,6
45,8,153,2,6
46,8,153,2,6
47,8,153,2,6
48,8,153,2,6
49,8,153,2,6
50,6,153,2,6
51,4,153,2,6
52,4,153,1,6
53,4,155,2,6
54,4,155,2,6.5
55,4,155,2,7
56,4,155,2,7
57,4,155,2,7
58,4,155,2,7
59,4,162,2,7
60,3,162,2,7
61,2,162,2,7
62,2,162,2,7
63,2,162,2,7
64,2,162,2,7
65,2,173,2,7
66,2,173,2,7
67,2,173,2,7
68,2,173,2,7
69,2,173,2,7
70,5,173,2,7
71,8,173,2,7
72,8,184,1,7
73,8,184,2,7
74,8,184,2,7
75,8,184,2,7
76,8,184,2,7
77,8,192,2,7
78,8,192,2,7
79,8,192,2,7
80,8,192,2,7
81,8,192,2,7
82,8,192,2,7
83,8,191,2,7
84,8,191,2,7
85,8,191,2,7
86,8,191,2,7
87,8,191,2,7
88,8,191,2,7
89,8,183,2,7
90,8,183,2,7
91,8,183,2,7
92,8,183,2,7
93,8,183,1,7
94,8,183,2,7
95,8,182,2,7
96,8,182,1,7
97,4,182,2,7
98,4,182,2,7
99,4,182,2,7
100,4,182,1,7
101,4,180,2,7
102,4,180,2,7
103,4,180,2,7
104,4,180,2,7
105,4,180,1,7
106,4,180,2,7
107,4,177,1,7
108,4,177,2,7
109,4,177,2,7
110,4,177,1,7
111,4,177,2,7
112,4,177,1,7
113,4,156,1,7
114,4,156,1,7
115,4,156,1,7
116,4,156,1,7
117,4,156,1,7
118,NaN,NaN,0,NaN
119,4,156,1,7
120,NaN,NaN,0,NaN
121,4,148,1,7
122,NaN,NaN,0,NaN
123,4,148,1,7
124,4,148,1,7
125,NaN,NaN,0,NaN
126,NaN,NaN,0,NaN
127,NaN,NaN,0,NaN
128,4,143,1,8
129,NaN,NaN,0,NaN
130,NaN,NaN,0,NaN
131,4,143,1,8
132,NaN,NaN,0,NaN
133,4,138,1,8
134,NaN,NaN,0,NaN
135,4,138,1,8
136,NaN,NaN,0,NaN
137,NaN,NaN,0,NaN
138,NaN,NaN,0,NaN
139,4,129,1,8
140,NaN,NaN,0,NaN
141,4,129,1,9
142,NaN,NaN,0,NaN
143,4,121,1,8
144,NaN,NaN,0,NaN
