time,weather,pm25,averageOf,temperature
1,2,127,2,4
2,2,127,2,4
3,2,127,2,4
4,2,128,2,4
5,2,132,2,4
6,2,132,2,4
7,2,132,2,3.5
8,2,132,2,3
9,2,132,1,3
10,2,132,2,3
11,2,136,2,3
12,2,136,2,3
13,2,136,2,3
14,2,136,2,3
15,2,136,2,3
16,2,136,2,3
17,2,132,2,3
18,2,132,2,3
19,2,132,2,3
20,2,132,2,3
21,2,132,2,3
22,2,132,2,3
23,2,133,2,3
24,2,133,2,3
25,2,133,2,3
26,2,133,2,3
27,2,133,2,3
28,2,133,2,3
29,2,133,2,3
30,2,132,2,3
31,2,132,2,3
32,2,132,2,3
33,2,132,2,3
34,2,132,2,3
35,2,131,2,3
36,2,131,2,3
37,2,131,2,3
38,2,131,2,3
39,2,131,2,3
40,2,131,2,3
41,2,125,2,3
42,2,125,2,3
43,5,125,2,3
44,8,125,2,3
45,8,125,2,3
46,8,125,2,3
47,8,122,2,3
48,8,122,2,3
49,8,122,2,3
50,8,122,2,3
51,8,122,2,3
52,8,122,2,3
53,8,122,2,3
54,8,122,2,3
55,8,122,2,3
56,8,122,2,3
57,8,122,2,3
58,8,122,2,3
59,8,132,2,3
60,5,132,2,3
61,2,132,2,3
62,2,132,2,3
63,2,132,2,3
64,2,132,2,5
65,2,145,2,5
66,2,145,2,5
67,2,145,2,6
68,2,145,2,6
69,2,145,2,6
70,2,145,2,6
71,2,159,2,6
72,2,159,1,8
73,2,159,2,8
74,2,159,2,8
75,2,159,2,8
76,2,159,2,8
77,2,157,1,9
78,2,157,2,9
79,2,157,1,9
80,2,157,2,9
81,2,157,2,9
82,2,157,2,9
83,2,139,2,9
84,2,139,2,9
85,2,139,2,9
86,2,139,2,9
87,2,139,2,9
88,2,139,2,9
89,2,139,2,9
90,2,139,2,9
91,2,139,2,9
92,2,139,2,9
93,2,139,2,9
94,2,139,2,9
95,2,141,2,9
96,2,141,2,9
97,2,141,2,9
98,2,141,2,9
99,2,141,2,9
100,2,141,2,9
101,2,144,2,9
102,2,144,2,9
103,2,144,2,9
104,2,144,2,9
105,2,144,2,9
106,2,144,2,9
107,2,148,2,8
108,2,148,2,8
109,2,148,2,8
110,2,148,2,8
111,2,148,2,8
112,2,148,2,8
113,2,151,2,8
114,2.5,151,2,8
115,3,151,2,8
116,3,151,2,8
117,3,151,2,8
118,3,151,2,8
119,3,163,1,8
120,3,163,2,8
121,3,163,1,8
122,3,163,2,8
123,3,163,2,8
124,3,163,2,8
125,3,173,2,8
126,3,173,2,8
127,3,173,2,8
128,3,173,2,8
129,3,173,1,8
130,3,173,1,8
131,3,178,2,8
132,3,178,2,8
133,3,178,1,8
134,3,178,1,8
135,3,178,2,8
136,3,178,1,7
137,3,183,1,7
138,3,183,1,7
139,3,183,2,7
140,3,183,2,7
141,3,183,2,7
142,3,183,2,7
143,3,185,2,7
144,3,185,2,7
