time,weather,pm25,averageOf,temperature
1,2,112,2,3
2,2,112,2,3
3,2,112,2,3
4,2,112,2,3
5,2,112,2,3
6,2,112,2,3
7,2,112,2,3
8,2,112,2,3
9,2,112,2,3
10,2,112,2,3
11,2,115,2,3
12,2,115,2,3
13,2,115,2,3
14,2,115,2,3
15,2,115,2,3
16,2,115,2,3
17,2,115,2,3
18,2,115,2,3
19,2,115,2,2.5
20,2,115,2,2
21,2,115,2,2
22,2,115,2,2
23,2,115,2,2
24,2,118,2,2
25,2,118,2,2
26,2,118,2,2
27,2,118,2,2
28,2,118,2,2
29,2,118,2,2
30,2,118,2,2
31,2,118,2,2
32,2,118,2,2
33,2,118,2,2
34,2,115,2,2
35,2,116,2,2
36,2,116,2,2
37,2,116,2,2
38,2,116,2,2
39,2,116,2,2
40,2,116,2,2
41,2,115,2,2
42,2,115,2,2
43,2,115,2,1.5
44,2,115,2,1
45,2,115,2,1
46,2,115,2,1
47,2,111,2,1
48,2,111,2,1
49,2,111,2,1
50,2,111,2,2
51,2,111,2,2
52,2,111,2,2
53,2,108,2,2
54,2,108,2,2
55,2,108,2,2
56,2,108,2,2
57,2,108,2,3
58,2,108,2,3
59,2,114,2,3
60,2,114,2,3.5
61,2,114,2,4
62,2,114,2,4
63,2,114,2,4.5
64,2,114,2,5
65,2,122,2,5
66,2,122,2,5
67,2,122,2,5
68,2,122,2,5.5
69,2,122,2,6
70,2,122,2,6
71,2,131,2,6
72,2,131,2,6
73,2,131,2,7
74,2,131,2,7
75,2,131,2,7
76,2,131,2,7
77,2,128,2,7
78,2,128,2,7
79,2,128,2,7.5
80,2,128,2,7
81,2,128,2,7
82,2,128,2,8
83,2,125,2,8
84,2,125,2,8
85,2,125,2,8
86,2,125,2,8
87,2,125,2,8
88,2,125,2,8.5
89,2,121,2,8
90,2,121,2,8
91,2,121,2,8
92,2,121,1,8
93,2,121,2,8
94,2,121,2,8
95,2,123,2,8
96,2,123,2,8
97,2,123,2,8
98,2,123,2,8
99,2,123,2,8
100,2,123,2,8
101,2,123,2,8
102,2,123,2,8
103,2,123,2,8
104,2,123,2,8
105,2,123,2,7.5
106,2,126,2,7
107,2,130,2,7
108,2,130,2,7
109,2,130,2,7
110,2,130,2,7
111,NaN,NaN,0,NaN
112,2,130,2,7
113,2,129,2,7
114,2,129,1,7
115,2,129,1,7
116,2,129,1,7
117,2,129,1,7
118,2,129,2,7
119,2,129,1,7
120,2,129,1,7
121,2,129,2,7
122,2,129,1,7
123,2,129,1,7
124,2,135,1,7
125,2,141,2,7
126,2,141,1,7
127,2,141,1,7
128,2,141,1,7
129,2,141,1,7
130,2,141,2,7
131,2,141,1,7
132,2,153,1,7
133,3,153,1,7
134,3,153,2,7
135,3,153,1,7
136,3,153,1,6
137,NaN,NaN,0,NaN
138,3,166,2,7
139,3,166,2,6
140,3,166,2,6
141,3,166,2,6
142,3,166,1,6
143,NaN,NaN,0,NaN
144,NaN,NaN,0,NaN
