time,weather,temperature,pm25
43,4,1,49
44,4,1,49
46,4,1,49
48,4,1,50
50,4,1,50
54,4,1,49
57,4,1,49
59,4,1,49
115,4,1,44
117,4,1,44
118,4,2,44
119,4,1,48
120,4,1,48
121,4,1,48
122,4,1,48
122,4,1,48
123,2,1,48
124,2,1,48
125,2,1,53
126,2,1,53
127,2,1,53
128,2,1,53
129,2,1,53
130,2,1,53
131,2,1,53
132,2,1,53
133,2,1,53
134,2,1,53
135,2,1,53
135,2,1,53
136,2,1,58
137,2,1,58
137,2,1,58
138,2,1,58
138,2,1,58
139,2,1,58
139,2,1,58
140,2,1,58
140,2,1,58
141,2,1,58
141,2,1,58
142,2,1,58
142,2,1,58
143,2,1,59
143,2,1,59
144,2,1,59
144,2,1,59
