time,weather,temperature,pm25
1,3,7,185
1,3,7,185
2,3,7,185
2,3,7,185
3,3,7,185
3,3,7,185
4,3,7,185
4,3,7,185
5,3,7,181
5,2,7,181
6,2,6,181
6,2,6,181
7,2,6,181
7,2,6,181
8,2,6,181
8,2,6,181
9,2,6,181
9,2,6,181
10,2,6,181
10,2,6,181
11,2,6,177
11,2,6,177
12,2,6,177
12,2,6,177
13,2,6,177
13,2,6,177
14,2,6,177
14,2,6,177
15,2,6,177
15,2,6,177
16,2,6,177
16,8,6,177
17,8,6,167
17,8,6,167
18,8,6,167
18,8,6,167
19,8,6,167
19,8,6,167
20,8,6,167
20,8,6,167
21,8,6,167
21,8,6,167
22,8,6,167
22,8,6,167
23,8,6,164
23,8,6,164
24,8,6,164
24,8,6,164
25,8,6,164
25,8,6,164
26,8,6,164
26,8,6,164
27,8,6,164
27,8,6,164
28,8,6,164
28,8,6,164
29,8,6,164
29,8,6,164
30,8,6,161
30,8,6,161
31,8,6,161
31,8,6,161
32,8,6,161
32,8,6,161
33,8,6,161
33,8,6,161
34,8,6,161
34,8,6,161
35,8,6,159
35,8,6,159
36,8,6,159
36,8,6,159
37,8,6,159
37,8,6,159
38,8,6,159
38,8,6,159
39,8,6,159
39,8,6,159
40,8,6,159
40,8,6,159
41,8,6,153
41,8,6,153
42,8,6,153
42,8,6,153
43,8,6,153
43,8,6,153
44,8,6,153
44,8,6,153
45,8,6,153
45,8,6,153
46,8,6,153
46,8,6,153
47,8,6,153
47,8,6,153
48,8,6,153
48,8,6,153
49,8,6,153
49,8,6,153
50,8,6,153
50,4,6,153
51,4,6,153
51,4,6,153
52,4,6,153
53,4,6,155
53,4,6,155
54,4,6,155
54,4,7,155
55,4,7,155
55,4,7,155
56,4,7,155
56,4,7,155
57,4,7,155
57,4,7,155
58,4,7,155
58,4,7,155
59,4,7,162
59,4,7,162
60,4,7,162
60,2,7,162
61,2,7,162
61,2,7,162
62,2,7,162
62,2,7,162
63,2,7,162
63,2,7,162
64,2,7,162
64,2,7,162
65,2,7,173
65,2,7,173
66,2,7,173
66,2,7,173
67,2,7,173
67,2,7,173
68,2,7,173
68,2,7,173
69,2,7,173
69,2,7,173
70,2,7,173
70,8,7,173
71,8,7,173
71,8,7,173
72,8,7,184
73,8,7,184
73,8,7,184
74,8,7,184
74,8,7,184
75,8,7,184
75,8,7,184
76,8,7,184
76,8,7,184
77,8,7,192
77,8,7,192
78,8,7,192
78,8,7,192
79,8,7,192
79,8,7,192
80,8,7,192
80,8,7,192
81,8,7,192
81,8,7,192
82,8,7,192
82,8,7,192
83,8,7,191
83,8,7,191
84,8,7,191
84,8,7,191
85,8,7,191
85,8,7,191
86,8,7,191
86,8,7,191
87,8,7,191
87,8,7,191
88,8,7,191
88,8,7,191
89,8,7,183
89,8,7,183
90,8,7,183
90,8,7,183
91,8,7,183
91,8,7,183
92,8,7,183
92,8,7,183
93,8,7,183
94,8,7,183
94,8,7,183
95,8,7,182
95,8,7,182
96,8,7,182
97,4,7,182
97,4,7,182
98,4,7,182
98,4,7,182
99,4,7,182
99,4,7,182
100,4,7,182
101,4,7,180
101,4,7,180
102,4,7,180
102,4,7,180
103,4,7,180
103,4,7,180
104,4,7,180
104,4,7,180
105,4,7,180
106,4,7,180
106,4,7,180
107,4,7,177
108,4,7,177
108,4,7,177
109,4,7,177
109,4,7,177
110,4,7,177
111,4,7,177
111,4,7,177
112,4,7,177
113,4,7,156
114,4,7,156
115,4,7,156
116,4,7,156
117,4,7,156
119,4,7,156
121,4,7,148
123,4,7,148
124,4,7,148
128,4,8,143
131,4,8,143
133,4,8,138
135,4,8,138
139,4,8,129
141,4,9,129
143,4,8,121
