time,begin,end,area,total,gap,gapRate,total_dest
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),1,53,2,0.03773584905660377,16
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),2,3,0,0,1
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),3,0,0,NaN,1
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),4,17,1,0.058823529411764705,8
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),5,2,1,0.5,1
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),6,1,0,0,5
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),7,68,4,0.058823529411764705,27
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),8,96,6,0.0625,57
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),9,21,1,0.047619047619047616,6
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),10,0,0,NaN,1
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),11,11,1,0.09090909090909091,8
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),12,55,1,0.01818181818181818,19
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),13,3,0,0,3
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),14,21,2,0.09523809523809523,29
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),15,0,0,NaN,0
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),16,3,0,0,4
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),17,0,0,NaN,0
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),18,0,0,NaN,7
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),19,16,0,0,13
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),20,49,15,0.30612244897959184,25
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),21,44,10,0.22727272727272727,6
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),22,17,2,0.11764705882352941,13
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),23,118,8,0.06779661016949153,76
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),24,28,1,0.03571428571428571,13
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),25,14,4,0.2857142857142857,5
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),26,6,1,0.16666666666666666,5
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),27,33,3,0.09090909090909091,9
1,Tue Jan 12 2016 00:00:00 GMT+0800 (CST),Tue Jan 12 2016 00:10:00 GMT+0800 (CST),28,60,10,0.16666666666666666,42
