area,time,timeSpan,poiCount,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4,weather,temperature,pm25
1,1,00:00:00==>00:10:00,653376,53,2,0.03773584905660377,16,,,,,,,
1,2,00:10:00==>00:20:00,653376,48,1,0.020833333333333332,13,1189,200,61,52,,,
1,3,00:20:00==>00:30:00,653376,55,10,0.18181818181818182,14,1196,211,50,36,,,
1,4,00:30:00==>00:40:00,653376,51,5,0.09803921568627451,17,1102,161,71,37,,,
1,5,00:40:00==>00:50:00,653376,37,0,0,8,1102,174,56,44,2,5,60
1,6,00:50:00==>01:00:00,653376,36,0,0,7,1081,175,59,51,2,5,60
1,7,01:00:00==>01:10:00,653376,42,11,0.2619047619047619,9,1061,162,65,39,2,5,60
1,8,01:10:00==>01:20:00,653376,28,5,0.17857142857142858,4,1021,177,56,44,2,5,60
1,9,01:20:00==>01:30:00,653376,26,3,0.11538461538461539,2,1053,131,50,53,2,5,60
1,10,01:30:00==>01:40:00,653376,18,0,0,3,985,166,45,41,2,5,60
1,11,01:40:00==>01:50:00,653376,25,1,0.04,7,994,141,40,52,2,5,53
1,12,01:50:00==>02:00:00,653376,41,3,0.07317073170731707,3,1012,132,32,36,2,5,53
1,13,02:00:00==>02:10:00,653376,21,0,0,2,1024,142,34,28,2,5,53
1,14,02:10:00==>02:20:00,653376,24,5,0.20833333333333334,4,1034,115,40,33,2,5,53
1,15,02:20:00==>02:30:00,653376,20,1,0.05,4,870,119,47,41,2,5,53
1,16,02:30:00==>02:40:00,653376,16,6,0.375,2,851,90,28,34,2,5,53
1,17,02:40:00==>02:50:00,653376,10,0,0,4,825,108,30,34,2,5,48
1,18,02:50:00==>03:00:00,653376,13,1,0.07692307692307693,1,793,124,45,37,2,5,48
1,19,03:00:00==>03:10:00,653376,18,1,0.05555555555555555,1,798,121,30,34,2,5,48
1,20,03:10:00==>03:20:00,653376,7,0,0,4,769,110,34,38,2,5,48
1,21,03:20:00==>03:30:00,653376,17,5,0.29411764705882354,3,795,93,29,25,2,5,48
1,22,03:30:00==>03:40:00,653376,18,6,0.3333333333333333,1,717,104,27,41,2,5,48
1,23,03:40:00==>03:50:00,653376,11,3,0.2727272727272727,3,771,107,33,37,2,5,41
1,24,03:50:00==>04:00:00,653376,9,1,0.1111111111111111,3,700,98,29,40,2,5,41
1,25,04:00:00==>04:10:00,653376,3,0,0,3,735,132,30,49,2,4,41
1,26,04:10:00==>04:20:00,653376,4,0,0,6,759,80,38,31,2,4,41
1,27,04:20:00==>04:30:00,653376,8,1,0.125,2,734,106,38,28,2,4,41
1,28,04:30:00==>04:40:00,653376,1,0,0,1,623,90,23,40,2,4,41
1,29,04:40:00==>04:50:00,653376,4,2,0.5,2,619,94,27,30,2,4,41
1,30,04:50:00==>05:00:00,653376,11,0,0,0,659,142,34,41,2,4,43
1,31,05:00:00==>05:10:00,653376,14,2,0.14285714285714285,3,722,115,48,48,2,4,43
1,32,05:10:00==>05:20:00,653376,6,0,0,0,677,89,29,48,2,4,43
1,33,05:20:00==>05:30:00,653376,4,0,0,3,778,89,33,34,2,4,43
1,34,05:30:00==>05:40:00,653376,10,0,0,7,751,124,43,40,2,4,43
1,35,05:40:00==>05:50:00,653376,13,6,0.46153846153846156,4,716,110,50,46,2,4,48
1,36,05:50:00==>06:00:00,653376,17,4,0.23529411764705882,2,811,94,36,31,2,4,48
1,37,06:00:00==>06:10:00,653376,26,5,0.19230769230769232,1,768,104,41,25,2,4,48
1,38,06:10:00==>06:20:00,653376,25,4,0.16,5,900,146,41,50,2,4,48
1,39,06:20:00==>06:30:00,653376,26,4,0.15384615384615385,4,978,95,28,34,2,4,48
1,40,06:30:00==>06:40:00,653376,41,1,0.024390243902439025,11,962,149,45,46,2,4,48
1,41,06:40:00==>06:50:00,653376,44,1,0.022727272727272728,11,1074,183,75,51,2,4,48
1,42,06:50:00==>07:00:00,653376,59,3,0.05084745762711865,21,1255,200,87,41,4,4,48
1,43,07:00:00==>07:10:00,653376,75,0,0,34,1202,252,74,81,4,4,48
1,44,07:10:00==>07:20:00,653376,96,0,0,34,1286,275,84,100,4,4,48
1,45,07:20:00==>07:30:00,653376,140,2,0.014285714285714285,54,1407,319,95,76,4,4,48
1,46,07:30:00==>07:40:00,653376,210,1,0.004761904761904762,88,1368,357,96,82,4,4,52
1,47,07:40:00==>07:50:00,653376,221,7,0.03167420814479638,114,1509,376,142,80,4,4,52
1,48,07:50:00==>08:00:00,653376,234,5,0.021367521367521368,97,1525,401,111,74,4,4,52
1,49,08:00:00==>08:10:00,653376,358,14,0.03910614525139665,116,1582,408,110,55,4,4,52
1,50,08:10:00==>08:20:00,653376,398,12,0.03015075376884422,107,1655,414,99,56,2,4,52
1,51,08:20:00==>08:30:00,653376,333,6,0.018018018018018018,88,1620,349,102,88,2,4,52
1,52,08:30:00==>08:40:00,653376,362,11,0.03038674033149171,124,1635,343,100,76,2,4,52
1,53,08:40:00==>08:50:00,653376,397,12,0.030226700251889168,122,1545,293,106,77,2,4,47
1,54,08:50:00==>09:00:00,653376,287,4,0.013937282229965157,91,1620,310,94,78,2,4,47
1,55,09:00:00==>09:10:00,653376,204,2,0.00980392156862745,86,1612,314,102,73,2,4,47
1,56,09:10:00==>09:20:00,653376,200,6,0.03,65,1660,317,120,71,2,4,47
1,57,09:20:00==>09:30:00,653376,213,10,0.046948356807511735,45,1587,353,91,92,2,4,47
1,58,09:30:00==>09:40:00,653376,149,6,0.040268456375838924,61,1571,324,98,66,2,4,47
1,59,09:40:00==>09:50:00,653376,160,3,0.01875,45,1612,296,100,111,2,4,46
1,60,09:50:00==>10:00:00,653376,138,0,0,43,1580,312,111,95,3,4,46
1,61,10:00:00==>10:10:00,653376,120,5,0.041666666666666664,46,1519,289,102,64,3,4,46
1,62,10:10:00==>10:20:00,653376,133,4,0.03007518796992481,48,1535,330,113,101,3,4,46
1,63,10:20:00==>10:30:00,653376,122,6,0.04918032786885246,43,1550,266,83,84,3,4,46
1,64,10:30:00==>10:40:00,653376,115,3,0.02608695652173913,43,1551,305,94,110,3,4,46
1,65,10:40:00==>10:50:00,653376,129,3,0.023255813953488372,40,1528,288,112,94,3,4,47
1,66,10:50:00==>11:00:00,653376,117,1,0.008547008547008548,39,1574,318,114,79,3,4,47
1,67,11:00:00==>11:10:00,653376,108,1,0.009259259259259259,42,1501,342,126,90,3,4,47
1,68,11:10:00==>11:20:00,653376,116,5,0.04310344827586207,42,1442,312,88,90,3,4,47
1,69,11:20:00==>11:30:00,653376,122,1,0.00819672131147541,45,1501,373,135,69,3,4,47
1,70,11:30:00==>11:40:00,653376,165,7,0.04242424242424243,63,1548,283,97,95,3,4,47
1,71,11:40:00==>11:50:00,653376,172,1,0.005813953488372093,67,1533,303,97,76,3,4,47
1,72,11:50:00==>12:00:00,653376,150,6,0.04,48,1541,313,88,61,3,4,47
1,73,12:00:00==>12:10:00,653376,190,15,0.07894736842105263,54,1528,316,95,94,3,4,47
1,74,12:10:00==>12:20:00,653376,148,8,0.05405405405405406,45,1564,311,110,86,3,4,47
1,75,12:20:00==>12:30:00,653376,150,5,0.03333333333333333,47,1476,345,114,77,3,4,47
1,76,12:30:00==>12:40:00,653376,131,6,0.04580152671755725,64,1499,307,111,107,3,4,51
1,77,12:40:00==>12:50:00,653376,191,9,0.04712041884816754,41,1510,302,101,68,3,4,57
1,78,12:50:00==>13:00:00,653376,167,3,0.017964071856287425,54,1477,318,112,77,3,4,57
