area,time,timeSpan,poiCount,weather,temperature,pm25,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4
1,1,00:00:00==>00:10:00,653376,3,3,88,72,7,0.09722222222222222,23,,,,
1,2,00:10:00==>00:20:00,653376,3,3,88,58,8,0.13793103448275862,20,1229,156,43,55
1,3,00:20:00==>00:30:00,653376,3,3,88,54,4,0.07407407407407407,20,1149,150,30,43
1,4,00:30:00==>00:40:00,653376,3,3,88,45,5,0.1111111111111111,6,1142,171,51,41
1,5,00:40:00==>00:50:00,653376,3,3,88,33,0,0,13,1158,166,56,51
1,6,00:50:00==>01:00:00,653376,3,3,82,40,0,0,5,1151,145,34,39
1,7,01:00:00==>01:10:00,653376,3,3,82,39,2,0.05128205128205128,9,1110,119,36,46
1,8,01:10:00==>01:20:00,653376,3,3,82,43,3,0.06976744186046512,5,1040,155,44,46
1,9,01:20:00==>01:30:00,653376,3,3,82,38,2,0.05263157894736842,7,1067,147,43,48
1,10,01:30:00==>01:40:00,653376,3,3,82,27,3,0.1111111111111111,8,1080,135,39,54
1,11,01:40:00==>01:50:00,653376,3,3,78,22,1,0.045454545454545456,2,955,101,31,45
1,12,01:50:00==>02:00:00,653376,3,3,78,24,1,0.041666666666666664,4,1058,129,60,35
1,13,02:00:00==>02:10:00,653376,3,3,78,22,0,0,7,887,109,45,53
1,14,02:10:00==>02:20:00,653376,3,3,78,19,2,0.10526315789473684,6,953,140,21,36
1,15,02:20:00==>02:30:00,653376,3,3,78,18,1,0.05555555555555555,1,992,102,29,26
1,16,02:30:00==>02:40:00,653376,3,3,78,27,0,0,4,932,115,21,38
1,17,02:40:00==>02:50:00,653376,3,3,74,16,0,0,3,871,129,24,19
1,18,02:50:00==>03:00:00,653376,3,3,74,10,1,0.1,2,845,64,29,33
1,19,03:00:00==>03:10:00,653376,3,3,74,14,0,0,1,790,93,10,20
1,20,03:10:00==>03:20:00,653376,3,3,74,15,3,0.2,2,719,124,28,41
1,21,03:20:00==>03:30:00,653376,3,3,74,13,1,0.07692307692307693,3,750,102,39,31
1,22,03:30:00==>03:40:00,653376,3,3,74,11,1,0.09090909090909091,3,752,99,33,41
1,23,03:40:00==>03:50:00,653376,3,3,72,9,1,0.1111111111111111,4,685,94,33,28
1,24,03:50:00==>04:00:00,653376,3,3,72,7,1,0.14285714285714285,2,652,69,33,37
1,25,04:00:00==>04:10:00,653376,3,3,72,7,1,0.14285714285714285,5,764,83,28,31
1,26,04:10:00==>04:20:00,653376,3,2,72,10,3,0.3,1,694,111,33,26
1,27,04:20:00==>04:30:00,653376,3,2,72,7,3,0.42857142857142855,1,603,94,23,35
1,28,04:30:00==>04:40:00,653376,3,3,72,4,0,0,1,568,96,39,33
1,29,04:40:00==>04:50:00,653376,3,2,72,3,0,0,0,693,97,38,24
1,30,04:50:00==>05:00:00,653376,3,2,72,4,0,0,2,530,74,25,33
1,31,05:00:00==>05:10:00,653376,3,2,72,6,0,0,3,557,110,41,35
1,32,05:10:00==>05:20:00,653376,3,2,72,5,0,0,1,679,109,33,49
1,33,05:20:00==>05:30:00,653376,3,2,72,5,2,0.4,3,692,117,25,25
1,34,05:30:00==>05:40:00,653376,3,3,72,10,1,0.1,1,682,77,17,34
1,35,05:40:00==>05:50:00,653376,3,3,72,10,1,0.1,0,739,96,29,38
1,36,05:50:00==>06:00:00,653376,3,3,72,18,3,0.16666666666666666,4,701,135,30,44
1,37,06:00:00==>06:10:00,653376,3,3,72,20,7,0.35,7,796,121,35,39
1,38,06:10:00==>06:20:00,653376,3,3,72,20,8,0.4,6,916,112,41,34
1,39,06:20:00==>06:30:00,653376,3,3,72,25,5,0.2,4,920,117,50,20
1,40,06:30:00==>06:40:00,653376,3,3,72,43,3,0.06976744186046512,11,998,118,43,40
1,41,06:40:00==>06:50:00,653376,3,3,81,39,0,0,11,1125,160,50,41
1,42,06:50:00==>07:00:00,653376,3,3,81,63,1,0.015873015873015872,19,1161,199,66,51
1,43,07:00:00==>07:10:00,653376,2,3,81,78,0,0,32,1231,212,61,69
1,44,07:10:00==>07:20:00,653376,2,3,81,133,1,0.007518796992481203,24,1198,255,69,60
1,45,07:20:00==>07:30:00,653376,2,3,81,141,1,0.0070921985815602835,66,1293,303,97,82
1,46,07:30:00==>07:40:00,653376,2,3,81,220,0,0,66,1445,327,88,80
1,47,07:40:00==>07:50:00,653376,,,,228,4,0.017543859649122806,91,1501,385,89,76
1,48,07:50:00==>08:00:00,653376,2,3,100,250,9,0.036,87,1635,328,116,56
1,49,08:00:00==>08:10:00,653376,2,3,100,320,13,0.040625,105,1623,344,93,72
1,50,08:10:00==>08:20:00,653376,,,,379,85,0.22427440633245382,105,1611,335,104,66
1,51,08:20:00==>08:30:00,653376,2,4,100,331,55,0.1661631419939577,85,1591,336,67,75
1,52,08:30:00==>08:40:00,653376,,,,351,20,0.05698005698005698,90,1616,277,85,63
1,53,08:40:00==>08:50:00,653376,2,4,153,441,108,0.24489795918367346,123,1573,268,78,57
1,54,08:50:00==>09:00:00,653376,,,,285,14,0.04912280701754386,95,1591,269,96,73
1,55,09:00:00==>09:10:00,653376,,,,205,7,0.03414634146341464,62,1543,288,87,57
1,56,09:10:00==>09:20:00,653376,2,4,153,196,4,0.02040816326530612,70,1560,295,89,55
1,57,09:20:00==>09:30:00,653376,,,,192,4,0.020833333333333332,35,1567,336,69,73
