area,time,lv1,lv2,lv3,lv4
1,2,1213,184,64,53
1,3,1205,168,63,40
1,4,1224,148,53,57
1,5,1190,169,62,47
1,6,1176,127,44,47
1,7,1107,159,61,40
1,8,1122,127,63,41
1,9,996,174,49,49
1,10,1006,162,39,33
1,11,1005,129,47,42
1,12,934,138,35,49
1,13,1008,136,29,26
1,14,939,120,31,37
1,15,922,100,31,43
1,16,928,116,41,34
1,17,838,121,30,33
1,18,932,93,26,27
1,19,887,127,44,36
1,20,772,96,29,21
1,21,780,93,37,32
1,22,737,132,30,30
1,23,738,69,34,32
1,24,677,99,50,24
1,25,604,106,39,39
1,26,709,116,24,46
1,27,672,92,26,37
1,28,650,95,31,28
1,29,630,81,16,27
1,30,659,104,38,33
1,31,635,134,41,40
1,32,606,110,35,35
1,33,763,94,30,25
1,34,661,83,41,31
1,35,717,85,27,42
1,36,745,107,25,19
1,37,817,102,21,23
1,38,882,119,32,39
1,39,911,128,30,26
1,40,947,94,20,31
1,41,1025,166,58,42
1,42,1162,163,55,51
1,43,1256,185,71,64
1,44,1342,243,74,73
1,45,1356,331,88,86
1,46,1463,326,120,62
1,47,1533,370,128,83
1,48,1536,415,101,79
1,49,1599,408,86,63
1,50,1598,365,134,67
1,51,1622,348,92,71
1,52,1685,284,90,47
1,53,1646,267,80,69
1,54,1672,292,79,76
1,55,1615,356,92,72
1,56,1579,356,105,90
1,57,1600,328,96,74
1,58,1563,357,101,94
1,59,1583,341,109,95
1,60,1618,295,85,75
1,61,1558,308,104,92
1,62,1578,253,94,91
1,63,1517,293,129,81
1,64,1534,287,105,86
1,65,1532,253,83,81
1,66,1548,283,77,75
1,67,1520,252,98,70
1,68,1443,299,94,78
1,69,1530,255,93,72
1,70,1566,283,72,73
1,71,1482,256,90,81
1,72,1466,277,59,91
1,73,1514,288,78,96
1,74,1505,315,117,99
1,75,1553,277,111,91
1,76,1469,271,97,102
1,77,1528,306,71,87
1,78,1467,271,85,76
1,79,1481,306,75,82
1,80,1427,323,102,73
1,81,1453,303,110,63
1,82,1449,317,119,99
1,83,1482,285,104,71
1,84,1471,289,99,93
1,85,1506,246,80,77
1,86,1468,296,79,65
1,87,1490,262,95,75
1,88,1377,271,97,88
1,89,1436,323,111,88
1,90,1492,293,91,84
1,91,1394,259,109,73
1,92,1453,251,115,81
1,93,1459,277,99,80
1,94,1416,280,91,110
1,95,1441,319,87,87
1,96,1537,326,112,80
1,97,1459,351,129,107
1,98,1432,387,146,94
1,99,1524,367,138,142
1,100,1477,366,129,94
1,101,1452,408,110,106
1,102,1503,386,118,88
1,103,1559,434,125,96
1,104,1515,440,156,107
1,105,1485,428,196,92
1,106,1496,406,161,122
1,107,1511,483,137,127
1,108,1457,454,135,110
1,109,1483,513,164,97
1,110,1432,451,164,118
1,111,1461,443,197,102
1,112,1414,464,159,129
1,113,1444,408,145,140
1,114,1494,453,144,106
1,115,1509,407,151,105
1,116,1541,438,156,93
1,117,1497,444,127,108
1,118,1445,411,128,89
1,119,1497,332,137,118
1,120,1528,404,102,85
1,121,1456,412,115,107
1,122,1490,395,103,128
1,123,1492,403,124,112
1,124,1451,376,138,82
1,125,1522,342,168,91
1,126,1504,336,123,85
1,127,1458,290,110,80
1,128,1476,313,89,86
1,129,1453,367,114,64
1,130,1499,343,89,72
1,131,1454,282,90,81
1,132,1412,306,81,65
1,133,1429,321,93,63
1,134,1463,275,86,76
1,135,1420,258,72,48
1,136,1419,306,95,92
1,137,1373,288,77,50
1,138,1340,290,74,85
1,139,1344,231,74,81
1,140,1440,235,102,68
1,141,1330,234,95,87
1,142,1340,235,58,57
1,143,1227,206,77,61
1,144,1278,181,75,62
2,2,711,70,12,20
2,3,696,49,16,13
2,4,702,69,21,28
2,5,719,64,23,18
2,6,628,42,12,17
2,7,658,68,15,14
2,8,689,46,12,19
2,9,649,56,23,12
2,10,661,38,14,17
2,11,606,66,7,5
2,12,604,29,17,19
2,13,579,47,12,15
2,14,595,41,12,11
2,15,576,39,20,15
2,16,545,33,7,18
2,17,576,34,21,16
2,18,525,32,7,8
2,19,485,33,6,16
2,20,431,39,12,12
2,21,518,41,7,13
2,22,463,35,9,8
2,23,403,23,11,5
2,24,437,40,24,6
2,25,407,22,8,4
2,26,404,21,6,10
2,27,351,29,3,6
2,28,281,16,8,12
2,29,308,44,3,10
2,30,389,24,5,3
2,31,424,21,8,13
2,32,284,17,2,10
2,33,302,13,7,4
2,34,359,23,22,8
2,35,429,22,7,8
2,36,418,25,13,6
2,37,482,23,9,10
2,38,492,45,13,6
2,39,554,46,9,16
2,40,610,45,19,8
2,41,608,73,17,6
2,42,634,53,23,17
2,43,646,45,26,12
2,44,638,66,17,6
2,45,677,121,21,31
2,46,647,167,23,18
2,47,678,156,38,34
2,48,729,195,33,24
2,49,738,139,23,18
2,50,740,156,15,14
2,51,709,159,32,7
2,52,745,138,26,28
2,53,703,168,46,13
2,54,698,134,31,21
2,55,683,130,40,33
2,56,675,158,26,18
2,57,683,156,24,24
2,58,713,132,27,24
2,59,744,133,42,18
2,60,671,142,26,22
2,61,645,132,34,29
2,62,695,152,21,20
2,63,690,137,38,29
2,64,665,142,29,15
2,65,701,121,30,27
2,66,668,139,15,21
2,67,656,121,29,20
2,68,661,149,32,25
2,69,737,146,23,34
2,70,697,163,26,37
2,71,682,162,27,35
2,72,590,171,38,17
2,73,636,164,34,22
2,74,695,141,17,17
2,75,626,167,30,21
2,76,659,169,33,29
2,77,644,167,41,24
2,78,707,168,43,25
2,79,678,152,43,27
2,80,672,184,28,28
2,81,592,191,34,21
2,82,609,173,36,35
2,83,609,178,24,26
2,84,689,148,37,13
2,85,576,215,30,17
2,86,573,166,36,13
2,87,669,157,26,24
2,88,561,193,29,26
2,89,546,155,30,22
2,90,579,159,22,14
2,91,551,217,45,15
2,92,619,180,40,22
2,93,554,193,35,30
2,94,557,223,36,33
2,95,573,211,34,35
2,96,636,229,33,33
2,97,606,219,44,34
2,98,543,286,51,27
2,99,589,239,49,24
2,100,540,261,45,25
2,101,628,234,44,24
2,102,615,252,48,45
2,103,624,267,51,35
2,104,558,308,50,33
2,105,598,250,53,29
2,106,553,284,66,36
2,107,588,303,54,21
2,108,604,277,41,29
2,109,723,221,34,25
2,110,608,213,46,20
2,111,658,217,38,26
2,112,630,221,45,21
2,113,642,236,56,37
2,114,620,228,43,40
2,115,643,229,49,32
2,116,672,255,62,44
2,117,684,219,56,33
2,118,683,226,51,33
2,119,653,232,57,24
2,120,660,201,48,29
2,121,675,204,46,36
2,122,692,216,43,18
2,123,655,246,33,37
2,124,637,222,43,15
2,125,676,178,31,28
2,126,645,168,50,33
2,127,666,159,46,32
2,128,714,188,39,20
2,129,674,167,32,18
2,130,676,130,38,19
2,131,688,126,22,20
2,132,734,104,31,33
2,133,715,116,32,15
2,134,761,95,17,15
2,135,718,89,26,22
2,136,730,97,20,30
2,137,752,94,22,19
2,138,732,83,39,17
2,139,756,74,25,19
2,140,732,91,20,23
2,141,703,88,27,19
2,142,692,63,27,3
2,143,723,70,25,28
2,144,705,76,18,11
3,2,210,12,8,5
3,3,196,14,10,9
3,4,192,17,3,3
3,5,183,24,4,1
3,6,208,20,13,3
3,7,210,20,4,2
3,8,182,19,5,5
3,9,152,15,0,2
