area,time,lv1,lv2,lv3,lv4
1,2,1399,318,102,94
1,3,1491,322,99,64
1,4,1490,287,98,78
1,5,1425,302,95,51
1,6,1327,313,94,66
1,7,1361,258,68,55
1,8,1395,280,97,69
1,9,1348,272,93,97
1,10,1417,236,93,53
1,11,1316,241,82,64
1,12,1393,254,65,65
1,13,1339,241,87,69
1,14,1390,198,69,47
1,15,1303,199,65,51
1,16,1296,190,60,60
1,17,1259,131,50,50
1,18,1277,161,47,52
1,19,1211,143,54,51
1,20,1160,163,39,51
1,21,1165,153,48,51
1,22,1115,140,49,47
1,23,1118,126,52,46
1,24,1061,141,34,38
1,25,1026,129,47,57
1,26,1120,129,44,48
1,27,982,145,45,40
1,28,918,116,52,43
1,29,978,139,54,43
1,30,1029,126,42,49
1,31,1018,117,43,58
1,32,995,142,42,46
1,33,964,145,41,65
1,34,931,101,38,33
1,35,984,110,31,31
1,36,886,107,53,44
1,37,888,105,44,43
1,38,936,110,41,34
1,39,889,131,32,24
1,40,1053,128,46,47
1,41,1167,163,49,52
1,42,1153,145,56,53
1,43,1239,136,62,62
1,44,1190,184,86,45
1,45,1347,206,61,61
1,46,1398,237,65,60
1,47,1449,221,70,55
1,48,1462,227,82,78
1,49,1402,231,65,79
1,50,1406,237,97,65
1,51,1496,228,83,73
1,52,1521,265,76,82
1,53,1429,271,77,66
1,54,1508,266,78,45
1,55,1493,337,92,74
1,56,1393,351,106,87
1,57,1500,279,87,77
1,58,1450,313,109,84
1,59,1472,319,110,88
1,60,1528,312,102,89
1,61,1524,294,78,78
1,62,1434,338,104,97
1,63,1511,269,74,83
1,64,1479,305,91,77
1,65,1464,319,98,85
1,66,1459,301,119,88
1,67,1397,335,103,83
1,68,1415,301,83,62
1,69,1448,336,124,93
1,70,1459,334,84,62
1,71,1429,335,116,95
1,72,1522,295,103,75
1,73,1473,340,113,95
1,74,1448,366,108,84
1,75,1512,325,102,80
1,76,1484,319,117,69
1,77,1474,341,116,92
1,78,1481,355,110,88
1,79,1474,356,110,97
1,80,1392,374,104,88
1,81,1388,363,126,98
1,82,1439,315,116,81
1,83,1448,341,101,57
1,84,1532,334,89,77
1,85,1437,359,100,84
1,86,1384,326,83,108
1,87,1401,355,111,90
1,88,1424,294,94,78
1,89,1445,321,98,81
1,90,1436,336,115,77
1,91,1493,342,95,97
1,92,1363,328,119,88
1,93,1465,348,128,87
1,94,1431,349,96,95
1,95,1407,415,138,106
1,96,1417,418,127,94
1,97,1443,392,138,99
1,98,1435,353,145,102
1,99,1448,378,126,100
1,100,1433,371,139,119
1,101,1405,389,134,113
1,102,1502,383,134,104
1,103,1491,403,146,74
1,104,1416,440,164,93
1,105,1432,448,133,119
1,106,1393,458,154,81
1,107,1434,452,123,99
1,108,1445,437,177,123
1,109,1406,439,164,122
1,110,1376,417,139,125
1,111,1463,426,147,95
1,112,1385,411,143,116
1,113,1360,405,160,113
1,114,1424,402,166,113
1,115,1387,441,172,124
1,116,1395,443,173,119
1,117,1376,436,156,96
1,118,1373,433,118,111
1,119,1394,381,117,112
1,120,1404,403,142,80
1,121,1432,380,112,97
1,122,1353,483,138,106
1,123,1408,374,139,90
1,124,1405,441,153,92
1,125,1469,397,117,82
1,126,1410,415,122,97
1,127,1373,378,133,110
1,128,1445,391,124,93
1,129,1401,392,100,91
1,130,1421,337,120,96
1,131,1465,353,77,72
1,132,1436,339,94,90
1,133,1411,338,83,54
1,134,1400,304,117,73
1,135,1411,354,95,74
1,136,1342,354,92,85
1,137,1457,289,80,83
1,138,1418,275,76,70
1,139,1372,294,102,61
1,140,1391,291,77,66
1,141,1354,300,94,70
1,142,1363,269,80,70
1,143,1340,238,89,66
1,144,1450,211,68,53
2,2,799,87,20,24
2,3,746,86,20,21
2,4,722,81,23,20
2,5,729,68,18,20
2,6,723,92,38,22
2,7,750,96,32,23
2,8,797,96,23,13
2,9,718,84,13,12
2,10,740,66,16,16
2,11,699,83,22,11
2,12,715,86,11,7
2,13,748,45,24,3
2,14,782,57,24,21
2,15,755,43,17,15
2,16,694,58,12,13
2,17,664,46,26,19
2,18,614,38,20,7
2,19,653,37,18,13
2,20,570,41,21,28
2,21,592,32,9,25
2,22,555,49,10,10
2,23,558,69,7,11
2,24,546,53,11,8
2,25,474,25,9,13
2,26,415,36,16,11
2,27,433,24,5,14
2,28,444,32,9,8
2,29,436,16,7,8
2,30,439,25,7,10
2,31,340,16,9,11
2,32,445,23,8,10
2,33,450,17,7,8
2,34,408,23,9,5
2,35,462,37,10,3
2,36,465,33,7,6
2,37,462,16,8,11
2,38,455,35,5,4
2,39,539,32,11,12
2,40,545,47,8,5
2,41,556,55,12,14
2,42,620,44,12,12
2,43,679,37,16,9
2,44,588,51,7,15
2,45,598,44,12,9
2,46,649,51,14,12
2,47,709,74,13,11
2,48,691,73,14,14
2,49,717,95,15,9
2,50,731,73,21,10
2,51,707,108,10,16
2,52,681,110,19,10
2,53,762,106,17,19
2,54,700,109,26,27
2,55,684,104,25,25
2,56,695,117,14,16
2,57,706,129,23,17
2,58,669,155,35,20
2,59,676,138,11,19
2,60,675,126,32,20
2,61,622,125,24,22
2,62,669,119,49,17
2,63,652,152,32,8
2,64,576,147,38,11
2,65,654,147,31,22
2,66,651,151,24,13
2,67,658,145,25,25
2,68,634,160,38,12
2,69,624,146,45,27
2,70,599,164,37,31
2,71,632,135,31,25
2,72,694,128,27,20
2,73,681,138,42,15
2,74,672,138,26,14
2,75,616,176,49,15
2,76,672,167,41,17
2,77,647,202,37,17
2,78,624,198,49,27
2,79,570,215,41,11
2,80,587,178,34,30
2,81,588,164,42,20
2,82,590,178,46,25
2,83,597,180,36,27
2,84,607,173,48,26
2,85,634,140,42,43
2,86,632,184,49,18
2,87,616,157,70,33
2,88,599,162,35,25
2,89,596,165,46,17
2,90,606,171,49,27
2,91,622,157,49,24
2,92,599,186,41,28
2,93,645,145,39,31
2,94,640,185,43,17
2,95,625,176,68,20
2,96,602,194,41,28
2,97,597,199,28,26
2,98,595,232,43,29
2,99,624,224,58,31
2,100,619,213,48,30
2,101,640,250,72,42
2,102,638,233,52,34
2,103,625,218,65,44
2,104,613,253,40,31
2,105,593,242,42,22
2,106,636,229,37,27
2,107,676,176,39,22
2,108,719,184,41,23
2,109,652,169,35,26
2,110,686,184,32,25
2,111,647,212,33,16
2,112,626,184,42,29
2,113,618,185,51,22
2,114,562,241,56,24
2,115,623,230,62,24
2,116,576,209,41,11
2,117,608,215,38,19
2,118,641,192,51,27
2,119,617,217,46,24
2,120,612,204,38,31
2,121,701,195,30,29
2,122,655,165,40,27
2,123,690,149,39,21
2,124,702,156,35,27
2,125,720,146,26,33
2,126,730,159,28,18
2,127,649,132,34,24
2,128,704,147,26,28
2,129,731,113,33,17
2,130,771,96,23,26
2,131,735,126,39,16
2,132,713,162,36,19
2,133,651,127,27,21
2,134,681,103,17,23
2,135,744,102,30,14
2,136,689,104,29,21
2,137,698,65,19,25
2,138,752,90,15,18
2,139,731,100,21,20
2,140,761,75,23,16
2,141,746,89,17,26
2,142,788,95,12,21
2,143,789,77,16,10
2,144,700,68,15,15
3,2,232,39,8,5
3,3,248,35,7,3
3,4,270,31,10,6
3,5,246,26,7,6
3,6,242,17,8,0
3,7,239,36,10,2
3,8,255,17,5,3
3,9,254,17,8,3
3,10,215,22,6,4
3,11,234,16,3,4
3,12,194,26,11,4
3,13,164,13,4,3
3,14,211,33,7,4
3,15,234,34,11,6
3,16,200,11,5,4
3,17,117,36,4,2
3,18,192,15,5,3
3,19,188,26,8,4
3,20,149,30,14,6
3,21,216,29,2,8
3,22,154,28,4,3
3,23,180,21,0,2
3,24,123,17,4,0
3,25,160,19,3,2
3,26,127,11,1,11
3,27,143,12,4,1
3,28,165,5,2,0
3,29,62,7,8,1
3,30,102,8,2,1
3,31,169,18,6,4
3,32,111,2,1,2
3,33,139,18,5,3
3,34,105,13,1,5
3,35,134,6,4,1
3,36,97,20,8,1
3,37,105,6,10,2
3,38,121,20,3,4
3,39,155,18,5,0
3,40,107,24,2,1
3,41,162,28,10,4
3,42,164,17,4,0
3,43,191,21,11,1
3,44,155,10,7,5
3,45,200,18,10,3
3,46,235,23,10,7
3,47,215,25,16,5
3,48,237,44,11,9
3,49,234,32,14,8
3,50,263,19,7,14
3,51,272,36,3,4
3,52,210,29,10,8
3,53,215,56,25,9
3,54,216,46,12,4
3,55,262,58,6,11
3,56,227,48,11,5
3,57,272,59,23,7
3,58,244,50,11,4
3,59,267,58,13,14
3,60,269,41,11,4
3,61,256,39,18,11
3,62,246,56,9,4
3,63,204,48,14,25
3,64,230,37,7,19
3,65,235,53,11,15
3,66,245,33,7,18
3,67,271,42,16,12
