area,time,lv1,lv2,lv3,lv4
1,2,1220,167,58,57
1,3,1147,156,51,60
1,4,1158,156,62,57
1,5,1161,134,45,43
1,6,1089,164,52,56
1,7,1120,175,49,46
1,8,1091,152,40,43
1,9,1009,126,47,38
1,10,1051,122,35,37
1,11,1078,118,24,48
1,12,955,155,58,40
1,13,971,142,50,41
1,14,945,127,34,37
1,15,918,121,47,38
1,16,931,129,40,57
1,17,912,90,23,14
1,18,811,80,24,30
1,19,701,92,28,21
1,20,815,103,14,18
1,21,761,132,25,39
1,22,750,108,54,31
1,23,688,127,45,34
1,24,615,80,26,34
1,25,555,106,32,26
1,26,575,82,31,31
1,27,626,108,45,59
1,28,694,77,34,38
1,29,626,108,37,39
1,30,688,106,35,38
1,31,573,99,23,22
1,32,662,101,16,34
1,33,650,75,23,42
1,34,740,126,36,31
1,35,686,83,41,44
1,36,698,102,40,46
1,37,781,125,46,28
1,38,824,111,43,64
1,39,928,137,33,28
1,40,939,120,33,40
1,41,970,229,50,60
1,42,1176,193,70,44
1,43,1224,228,61,56
1,44,1289,268,80,84
1,45,1363,311,101,51
1,46,1418,343,99,90
1,47,1474,384,98,90
1,48,1562,398,88,70
1,49,1615,399,92,65
1,50,1642,331,102,67
1,51,1585,285,76,61
1,52,1617,308,78,71
1,53,1723,291,86,60
1,54,1596,326,90,64
1,55,1557,329,90,63
1,56,1574,349,118,70
1,57,1559,351,98,62
1,58,1496,338,95,75
1,59,1514,341,102,88
1,60,1596,308,125,83
1,61,1497,269,99,75
1,62,1508,293,79,77
1,63,1560,327,113,75
1,64,1515,284,95,89
1,65,1536,272,89,73
1,66,1553,247,70,73
1,67,1518,264,101,101
1,68,1550,288,76,94
1,69,1489,279,93,70
1,70,1546,229,90,84
1,71,1502,305,103,85
1,72,1454,289,120,70
1,73,1509,302,107,103
1,74,1484,294,93,69
1,75,1475,298,114,106
1,76,1459,306,105,79
1,77,1505,263,87,78
1,78,1501,324,84,84
1,79,1476,300,101,86
1,80,1399,266,77,85
1,81,1450,289,84,54
1,82,1490,268,107,82
1,83,1469,278,87,72
1,84,1456,269,92,60
1,85,1446,240,92,77
1,86,1484,266,82,78
1,87,1438,272,82,81
1,88,1499,286,82,51
1,89,1478,268,104,64
1,90,1478,327,93,80
1,91,1505,295,91,83
1,92,1471,329,110,78
1,93,1491,344,88,54
1,94,1426,326,104,89
1,95,1469,354,134,68
1,96,1472,292,98,64
1,97,1501,339,130,94
1,98,1451,362,114,97
1,99,1408,364,143,78
1,100,1452,433,120,99
1,101,1490,398,134,107
1,102,1468,379,99,90
1,103,1445,374,117,96
1,104,1492,446,167,106
1,105,1417,459,149,96
1,106,1445,461,161,87
1,107,1488,468,166,120
1,108,1414,512,158,69
1,109,1414,460,168,113
1,110,1449,474,147,105
1,125,1254,317,90,77
1,126,1324,493,165,129
1,127,1379,434,170,124
1,128,1309,511,189,147
1,138,1424,294,112,57
1,139,1586,315,87,66
1,140,1467,275,91,86
1,141,1443,271,89,56
1,142,1423,285,64,82
1,143,1382,261,84,60
1,144,1398,270,75,55
2,2,672,69,11,11
2,3,692,51,22,14
2,4,718,46,6,19
2,5,694,48,14,17
2,6,689,42,6,17
2,7,654,42,21,16
2,8,658,57,6,15
2,9,678,45,5,16
2,10,630,52,6,14
2,11,599,45,22,14
2,12,649,45,12,15
2,13,621,27,17,4
2,14,633,42,11,16
2,15,580,33,10,8
2,16,572,60,16,11
2,17,610,48,20,9
2,18,516,40,10,4
2,19,583,28,6,4
2,20,457,34,13,10
2,21,418,47,15,14
2,22,432,27,10,8
2,23,487,29,4,7
2,24,386,19,8,19
2,25,364,19,13,12
2,26,338,18,11,15
2,27,342,31,8,4
2,28,327,19,5,7
2,29,360,20,5,4
2,30,369,22,10,9
2,31,363,19,4,3
2,32,349,22,7,1
2,33,398,18,8,2
2,34,321,28,11,13
2,35,386,27,14,4
2,36,451,41,13,6
2,37,483,39,5,5
2,38,548,34,10,20
2,39,552,51,3,8
2,40,576,46,10,14
2,41,607,58,28,17
2,42,626,70,20,14
2,43,646,52,17,12
2,44,680,81,14,12
2,45,678,104,14,19
2,46,660,160,38,17
2,47,648,175,27,25
2,48,675,198,39,28
2,49,711,163,22,8
2,50,703,166,34,27
2,51,733,142,40,17
2,52,739,141,33,13
